row_label_raw,row_label_full,col_0,Từ 1 nămtrở xuốngVND,Trên 1 nămđến 5 nămVND,Trên 5 nămVND,CộngVND,numeric__Từ 1 nămtrở xuốngVND,numeric__Trên 1 nămđến 5 nămVND,numeric__Trên 5 nămVND,numeric__CộngVND
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,,,
Tại ngày 31/12/2017,Tại ngày 31/12/2017,Tại ngày 31/12/2017,,,,,,,,
Vay và nợ,Tại ngày 31/12/2017 > Vay và nợ,Vay và nợ,300.526.593.110,-,-,300.526.593.110,300526593110.0,,,300526593110.0
Phải trả người bán,Tại ngày 31/12/2017 > Phải trả người bán,Phải trả người bán,84.396.269.738,-,-,84.396.269.738,84396269738.0,,,84396269738.0
Chi phí phải trả,Tại ngày 31/12/2017 > Chi phí phải trả,Chi phí phải trả,491.854.479.085,-,-,491.854.479.085,491854479085.0,,,491854479085.0
Phải trả khác,Tại ngày 31/12/2017 > Phải trả khác,Phải trả khác,262.505.488.167,19.747.290.000,-,282.252.778.167,262505488167.0,19747290000.0,,282252778167.0
Cộng,Tại ngày 31/12/2017 > Cộng,Cộng,1.139.282.830.100,19.747.290.000,-,1.159.030.120.100,1139282830100.0,19747290000.0,,1159030120100.0
Tại ngày 01/01/2017,Tại ngày 01/01/2017,Tại ngày 01/01/2017,,,,,,,,
Vay và nợ,Tại ngày 01/01/2017 > Vay và nợ,Vay và nợ,512.957.103.204,59.423.508.000,-,572.380.611.204,512957103204.0,59423508000.0,,572380611204.0
Phải trả người bán,Tại ngày 01/01/2017 > Phải trả người bán,Phải trả người bán,101.193.379.042,-,-,101.193.379.042,101193379042.0,,,101193379042.0
Chi phí phải trả,Tại ngày 01/01/2017 > Chi phí phải trả,Chi phí phải trả,688.072.340.420,-,-,688.072.340.420,688072340420.0,,,688072340420.0
Phải trả khác,Tại ngày 01/01/2017 > Phải trả khác,Phải trả khác,131.622.484.356,387.918.636.432,-,519.541.120.788,131622484356.0,387918636432.0,,519541120788.0
Cộng,Tại ngày 01/01/2017 > Cộng,Cộng,1.433.845.307.022,447.342.144.432,-,1.881.187.451.454,1433845307022.0,447342144432.0,,1881187451454.0
