row_label_raw,row_label_full,col_0,Số phải thu cuối năm VND,Số phải nộp cuối năm VND,Số đã thực nộp trong năm VND,Số phải nộp trong năm VND,Số phải thu đầu năm VND,Số phải nộp đầu năm VND,numeric__Số phải thu cuối năm VND,numeric__Số phải nộp cuối năm VND,numeric__Số đã thực nộp trong năm VND,numeric__Số phải nộp trong năm VND,numeric__Số phải thu đầu năm VND,numeric__Số phải nộp đầu năm VND
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,61.153.688.976,72.659.007.801,103.787.866.514,-,30.024.830.263,,61153688976.0,72659007801.0,103787866514.0,,30024830263.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,6.238.175.162,4.846.299.876,11.058.998.175,-,25.476.863,,6238175162.0,4846299876.0,11058998175.0,,25476863.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,-,419.876.262,419.876.262,-,-,,,419876262.0,419876262.0,,
"Phí, lệ phí và các khoản khác","Phí, lệ phí và các khoản khác","Phí, lệ phí và các khoản khác",-,-,11.847.022.733,11.847.022.733,-,-,,,11847022733.0,11847022733.0,,
Cộng,Cộng,Cộng,-,67.391.864.138,89.772.206.672,127.113.763.684,-,30.050.307.126,,67391864138.0,89772206672.0,127113763684.0,,30050307126.0
5.16 Vay và nợ thuê tài chính,5.16 Vay và nợ thuê tài chính,5.16 Vay và nợ thuê tài chính,5.16 Vay và nợ thuê tài chính,5.16 Vay và nợ thuê tài chính,5.16 Vay và nợ thuê tài chính,5.16 Vay và nợ thuê tài chính,5.16 Vay và nợ thuê tài chính,5.16 Vay và nợ thuê tài chính,,,,,,
5.16.1 Vay ngắn hạn,5.16.1 Vay ngắn hạn,5.16.1 Vay ngắn hạn,5.16.1 Vay ngắn hạn,5.16.1 Vay ngắn hạn,5.16.1 Vay ngắn hạn,5.16.1 Vay ngắn hạn,5.16.1 Vay ngắn hạn,5.16.1 Vay ngắn hạn,,,,,,
,,,31/12/2017,31/12/2017,Trong năm,Trong năm,01/01/2017,01/01/2017,,,,,,
,,,Giá trị VND,Số có khả năng trả nợ VND,Tăng VND,Giảm VND,Giá trị VND,Số có khả năng trả nợ VND,,,,,,
Ngân hàng TNHH Indovina - CN Thiên Long (i),5.16.1 Vay ngắn hạn > Ngân hàng TNHH Indovina - CN Thiên Long (i),Ngân hàng TNHH Indovina - CN Thiên Long (i),217.600.346.082,217.600.346.082,686.923.908.329,795.487.171.451,326.163.609.204,326.163.609.204,217600346082.0,217600346082.0,686923908329.0,795487171451.0,326163609204.0,326163609204.0
Ngân hàng TMCP Kỹ thương Việt Nam - CN Thăng Long (ii),5.16.1 Vay ngắn hạn > Ngân hàng TMCP Kỹ thương Việt Nam - CN Thăng Long (ii),Ngân hàng TMCP Kỹ thương Việt Nam - CN Thăng Long (ii),77.926.247.028,77.926.247.028,135.832.108.028,189.699.355.000,131.793.494.000,131.793.494.000,77926247028.0,77926247028.0,135832108028.0,189699355000.0,131793494000.0,131793494000.0
Tô Như Toàn (iii),5.16.1 Vay ngắn hạn > Tô Như Toàn (iii),Tô Như Toàn (iii),-,-,83.000.000.000,83.000.000.000,-,-,,,83000000000.0,83000000000.0,,
Tô Như Thắng (iv),5.16.1 Vay ngắn hạn > Tô Như Thắng (iv),Tô Như Thắng (iv),-,-,24.000.000.000,24.000.000.000,-,-,,,24000000000.0,24000000000.0,,
Vay của đối tượng khác,5.16.1 Vay ngắn hạn > Vay của đối tượng khác,Vay của đối tượng khác,5.000.000.000,5.000.000.000,-,50.000.000.000,55.000.000.000,55.000.000.000,5000000000.0,5000000000.0,,50000000000.0,55000000000.0,55000000000.0
Cộng,5.16.1 Vay ngắn hạn > Cộng,Cộng,300.526.593.110,300.526.593.110,929.756.016.357,1.142.186.526.451,512.957.103.204,512.957.103.204,300526593110.0,300526593110.0,929756016357.0,1142186526451.0,512957103204.0,512957103204.0
