row_label_raw,row_label_full,col_0,31/12/2017 > Số lượng CP,31/12/2017 > Giá trị VND,31/12/2017 > Tỷ lệ %,01/01/2017 > Số lượng CP,01/01/2017 > Giá trị VND,01/01/2017 > Tỷ lệ %,numeric__31/12/2017 > Số lượng CP,numeric__31/12/2017 > Giá trị VND,numeric__31/12/2017 > Tỷ lệ %,numeric__01/01/2017 > Số lượng CP,numeric__01/01/2017 > Giá trị VND,numeric__01/01/2017 > Tỷ lệ %
Ông Tô Như Toàn,Ông Tô Như Toàn,Ông Tô Như Toàn,40.000.000,400.000.000.000,"25,00%",8.652.600,86.526.000.000,33%,40000000.0,400000000000.0,0.25,8652600.0,86526000000.0,0.33
Ông Tô Như Thắng,Ông Tô Như Thắng,Ông Tô Như Thắng,11.300.000,113.000.000.000,"7,06%",5.244.000,52.440.000.000,20%,11300000.0,113000000000.0,0.0706,5244000.0,52440000000.0,0.2
Bà Đào Thị Hồng Hạnh,Bà Đào Thị Hồng Hạnh,Bà Đào Thị Hồng Hạnh,4.000.000,40.000.000.000,"2,50%",11.799.000,117.990.000.000,45%,4000000.0,40000000000.0,0.025,11799000.0,117990000000.0,0.45
Ông Vũ Thanh Tuấn,Ông Vũ Thanh Tuấn,Ông Vũ Thanh Tuấn,7.750.000,77.500.000.000,"4,84%",524.400,5.244.000.000,2%,7750000.0,77500000000.0,0.0484,524400.0,5244000000.0,0.02
Công ty CP Đầu tư THG Holdings,Công ty CP Đầu tư THG Holdings,Công ty CP Đầu tư THG Holdings,37.500.000,375.000.000.000,"23,44%",,,,37500000.0,375000000000.0,0.23440000000000003,,,
Vốn góp của cổ đông khác,Vốn góp của cổ đông khác,Vốn góp của cổ đông khác,59.450.000,594.500.000.000,"37,16%",,,,59450000.0,594500000000.0,0.3716,,,
Cộng,Cộng,Cộng,160.000.000,1.600.000.000.000,100%,26.220.000,262.200.000.000,100%,160000000.0,1600000000000.0,1.0,26220000.0,262200000000.0,1.0
