row_label_raw,row_label_full,5.16.2 Vay dài hạn,5.16.2 Vay dài hạn_1,5.16.2 Vay dài hạn_2,5.16.2 Vay dài hạn_3,5.16.2 Vay dài hạn_4,5.16.2 Vay dài hạn_5,5.16.2 Vay dài hạn_6,numeric__5.16.2 Vay dài hạn_1,numeric__5.16.2 Vay dài hạn_2,numeric__5.16.2 Vay dài hạn_3,numeric__5.16.2 Vay dài hạn_4,numeric__5.16.2 Vay dài hạn_5,numeric__5.16.2 Vay dài hạn_6
,,,31/12/2017,31/12/2017,Trong năm,Trong năm,01/01/2017,01/01/2017,,,,,,
,,,Giá trịVND,Số có khả năng trả nợVND,TăngVND,GiảmVND,Giá trịVND,Số có khả năng trả nợVND,,,,,,
Tô Như Toàn (iii),Tô Như Toàn (iii),Tô Như Toàn (iii),-,-,-,31.923.508.000,31.923.508.000,31.923.508.000,,,,31923508000.0,31923508000.0,31923508000.0
Tô Như Thắng (iv),Tô Như Thắng (iv),Tô Như Thắng (iv),-,-,-,27.500.000.000,27.500.000.000,27.500.000.000,,,,27500000000.0,27500000000.0,27500000000.0
Cộng,Cộng,Cộng,-,-,-,59.423.508.000,59.423.508.000,59.423.508.000,,,,59423508000.0,59423508000.0,59423508000.0
5.16.3 Vay các bên liên quan,5.16.3 Vay các bên liên quan,5.16.3 Vay các bên liên quan,5.16.3 Vay các bên liên quan,5.16.3 Vay các bên liên quan,5.16.3 Vay các bên liên quan,5.16.3 Vay các bên liên quan,5.16.3 Vay các bên liên quan,5.16.3 Vay các bên liên quan,,,,,,
,,,31/12/2017,31/12/2017,Trong năm,Trong năm,01/01/2017,01/01/2017,,,,,,
,,,Giá trịVND,Số có khả năng trả nợVND,TăngVND,GiảmVND,Giá trịVND,Số có khả năng trả nợVND,,,,,,
Tô Như Toàn,5.16.3 Vay các bên liên quan > Tô Như Toàn,Tô Như Toàn,-,-,83.000.000.000,114.923.508.000,31.923.508.000,31.923.508.000,,,83000000000.0,114923508000.0,31923508000.0,31923508000.0
Tô Như Thắng,5.16.3 Vay các bên liên quan > Tô Như Thắng,Tô Như Thắng,-,-,24.000.000.000,51.500.000.000,27.500.000.000,27.500.000.000,,,24000000000.0,51500000000.0,27500000000.0,27500000000.0
Cộng,5.16.3 Vay các bên liên quan > Cộng,Cộng,-,-,107.000.000.000,166.423.508.000,59.423.508.000,59.423.508.000,,,107000000000.0,166423508000.0,59423508000.0,59423508000.0
