row_label_raw,row_label_full,Chỉ tiêu,Mã số,TM,Năm 2017,Đơn vị tính: VND Năm 2016,numeric__Mã số,numeric__TM,numeric__Năm 2017,numeric__Đơn vị tính: VND Năm 2016
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,6.1,840.497.100.567,268.629.216.390,1.0,61.0,840497100567.0,268629216390.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,,-,1.626.530.304,2.0,,,1626530304.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,840.497.100.567,267.002.686.086,10.0,,840497100567.0,267002686086.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,6.2,386.900.848.485,190.890.202.969,11.0,62.0,386900848485.0,190890202969.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,453.596.252.082,76.112.483.117,20.0,,453596252082.0,76112483117.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,6.3,81.043.394.835,2.054.976.425,21.0,63.0,81043394835.0,2054976425.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,6.4,25.061.215.038,19.261.213.689,22.0,64.0,25061215038.0,19261213689.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,25.061.215.038,19.261.213.689,23.0,,25061215038.0,19261213689.0
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,25,,-,2.281.949.493,25.0,,,2281949493.0
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,26,6.5,42.753.800.206,29.727.218.999,26.0,65.0,42753800206.0,29727218999.0
10. Lợi nhuận thuần từ hoạt động kinh doanh,10. Lợi nhuận thuần từ hoạt động kinh doanh,10. Lợi nhuận thuần từ hoạt động kinh doanh,30,,466.824.631.673,26.897.077.361,30.0,,466824631673.0,26897077361.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,6.6,79.477.807.431,1.657.427.730,31.0,66.0,79477807431.0,1657427730.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,32,6.7,29.662.641.140,5.160.547.026,32.0,67.0,29662641140.0,5160547026.0
13. Lợi nhuận khác,13. Lợi nhuận khác,13. Lợi nhuận khác,40,,49.815.166.291,(3.503.119.296),40.0,,49815166291.0,-3503119296.0
14. Tổng lợi nhuận kế toán trước thuế,14. Tổng lợi nhuận kế toán trước thuế,14. Tổng lợi nhuận kế toán trước thuế,50,,516.639.797.964,23.393.958.065,50.0,,516639797964.0,23393958065.0
15. Chi phí thuế TNDN hiện hành,15. Chi phí thuế TNDN hiện hành,15. Chi phí thuế TNDN hiện hành,51,6.8,103.787.866.514,5.896.916.890,51.0,68.0,103787866514.0,5896916890.0
16. Chi phí thuế TNDN hoãn lại,16. Chi phí thuế TNDN hoãn lại,16. Chi phí thuế TNDN hoãn lại,52,,-,-,52.0,,,
17. Lợi nhuận sau thuế thu nhập doanh nghiệp,17. Lợi nhuận sau thuế thu nhập doanh nghiệp,17. Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,412.851.931.450,17.497.041.175,60.0,,412851931450.0,17497041175.0
