row_label_raw,row_label_full,TT,Khoản mục,Mã số,Số dư tại 31/12/2016,Số trình bày lại,Chênh lệch,numeric__Khoản mục,numeric__Mã số,numeric__Số dư tại 31/12/2016,numeric__Số trình bày lại,numeric__Chênh lệch
,,,Bảng cân đối kế toán,Bảng cân đối kế toán,Bảng cân đối kế toán,Bảng cân đối kế toán,Bảng cân đối kế toán,,,,,
1,1,1,Hàng tồn kho,141,1.115.879.384.898,1.131.888.729.430,16.009.344.532,,141.0,1115879384898.0,1131888729430.0,16009344532.0
2,2,2,Thuế GTGT được khấu trừ,152,61.363.328.886,61.192.597.309,(170.731.577),,152.0,61363328886.0,61192597309.0,-170731577.0
3,3,3,Thuế và các khoản phải nộp Nhà nước,313,2.542.217.408,30.050.307.126,27.508.089.718,,313.0,2542217408.0,30050307126.0,27508089718.0
4,4,4,- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,51.981.697.989,40.312.221.226,(11.669.476.763),,,51981697989.0,40312221226.0,-11669476763.0
