row_label_raw,row_label_full,Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản,01,5.205.642.035.515,5.234.694.042.829,numeric__01,numeric__5.205.642.035.515,numeric__5.234.694.042.829
Khấu hao và phân bổ,Khấu hao và phân bổ,Khấu hao và phân bổ,02,140.048.843.191,238.030.970.711,2.0,140048843191.0,238030970711.0
Các khoản dự phòng,Các khoản dự phòng,Các khoản dự phòng,03,34.824.599.252,342.159.024.324,3.0,34824599252.0,342159024324.0
Lỗ chênh lệch tỷ giá do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,Lỗ chênh lệch tỷ giá do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,Lỗ chênh lệch tỷ giá do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,04,2.678.826.072,1.032.184.727,4.0,2678826072.0,1032184727.0
Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,05,(3.156.225.268.657),(2.941.727.163.726),5.0,-3156225268657.0,-2941727163726.0
Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,08,2.226.969.035.373,2.874.189.058.865,8.0,2226969035373.0,2874189058865.0
Biến động các khoản phải thu,Biến động các khoản phải thu,Biến động các khoản phải thu,09,80.807.959.322,573.258.580.818,9.0,80807959322.0,573258580818.0
Biến động hàng tồn kho,Biến động hàng tồn kho,Biến động hàng tồn kho,10,130.389.623.820,(71.297.614.236),10.0,130389623820.0,-71297614236.0
Biến động các khoản phải trả và nợ phải trả khác,Biến động các khoản phải trả và nợ phải trả khác,Biến động các khoản phải trả và nợ phải trả khác,11,(561.690.538.465),436.508.498.783,11.0,-561690538465.0,436508498783.0
Biến động chi phí trả trước,Biến động chi phí trả trước,Biến động chi phí trả trước,12,(38.844.908.776),(15.962.603.599),12.0,-38844908776.0,-15962603599.0
,,,,1.837.631.171.274,3.796.695.920.631,,1837631171274.0,3796695920631.0
Thuế thu nhập doanh nghiệp đã nộp Tiền chi khác cho hoạt động kinh doanh,Thuế thu nhập doanh nghiệp đã nộp Tiền chi khác cho hoạt động kinh doanh,Thuế thu nhập doanh nghiệp đã nộp Tiền chi khác cho hoạt động kinh doanh,15,(516.357.059.917),(774.647.952.285),15.0,-516357059917.0,-774647952285.0
Thuế thu nhập doanh nghiệp đã nộp Tiền chi khác cho hoạt động kinh doanh,Thuế thu nhập doanh nghiệp đã nộp Tiền chi khác cho hoạt động kinh doanh,Thuế thu nhập doanh nghiệp đã nộp Tiền chi khác cho hoạt động kinh doanh,17,(82.728.146.778),(72.591.247.041),17.0,-82728146778.0,-72591247041.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,1.238.545.964.579,2.949.456.721.305,20.0,1238545964579.0,2949456721305.0
