row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịquản lýVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịquản lýVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,582.647.546.474,2.668.371.567.310,58.311.705.935,103.470.211.842,3.412.801.031.561,582647546474.0,2668371567310.0,58311705935.0,103470211842.0,3412801031561.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,3.526.820.018,-,11.841.974.990,15.368.795.008,,3526820018.0,,11841974990.0,15368795008.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,26.689.522.935,205.119.752.021,-,-,231.809.274.956,26689522935.0,205119752021.0,,,231809274956.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(2.630.002.611),(488.787.154),-,(3.118.789.765),,-2630002611.0,-488787154.0,,-3118789765.0
Xóa sổ,Nguyên giá > Xóa sổ,Xóa sổ,-,-,-,(137.984.004),(137.984.004),,,,-137984004.0,-137984004.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,609.337.069.409,2.874.388.136.738,57.822.918.781,115.174.202.828,3.656.722.327.756,609337069409.0,2874388136738.0,57822918781.0,115174202828.0,3656722327756.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,413.346.672.128,2.328.014.058.997,47.798.319.110,79.456.541.925,2.868.615.592.160,413346672128.0,2328014058997.0,47798319110.0,79456541925.0,2868615592160.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,23.004.938.270,104.725.196.084,3.430.941.865,10.792.835.134,141.953.911.353,23004938270.0,104725196084.0,3430941865.0,10792835134.0,141953911353.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(2.630.002.611),(488.787.154),-,(3.118.789.765),,-2630002611.0,-488787154.0,,-3118789765.0
Xóa sổ,Giá trị hao mòn lũy kế > Xóa sổ,Xóa sổ,-,-,-,(137.984.004),(137.984.004),,,,-137984004.0,-137984004.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,436.351.610.398,2.430.109.252.470,50.740.473.821,90.111.393.055,3.007.312.729.744,436351610398.0,2430109252470.0,50740473821.0,90111393055.0,3007312729744.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,169.300.874.346,340.357.508.313,10.513.386.825,24.013.669.917,544.185.439.401,169300874346.0,340357508313.0,10513386825.0,24013669917.0,544185439401.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,172.985.459.011,444.278.884.268,7.082.444.960,25.062.809.773,649.409.598.012,172985459011.0,444278884268.0,7082444960.0,25062809773.0,649409598012.0
