row_label_raw,row_label_full,col_0,Giá trị giao dịch,Giá trị giao dịch_1,numeric__Giá trị giao dịch,numeric__Giá trị giao dịch_1
,,,2020VND,2019VND,,
Công ty mẹ cấp trung gian,Công ty mẹ cấp trung gian,Công ty mẹ cấp trung gian,Công ty mẹ cấp trung gian,Công ty mẹ cấp trung gian,,
BeerCo Limited,BeerCo Limited,BeerCo Limited,BeerCo Limited,BeerCo Limited,,
Chi hộ Tổng Công ty,BeerCo Limited > Chi hộ Tổng Công ty,Chi hộ Tổng Công ty,-,4.019.622.199,,4019622199.0
Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,,
Công ty TNHH Vietnam Beverage,Công ty TNHH Vietnam Beverage,Công ty TNHH Vietnam Beverage,Công ty TNHH Vietnam Beverage,Công ty TNHH Vietnam Beverage,,
Cổ tức đã trả,Công ty TNHH Vietnam Beverage > Cổ tức đã trả,Cổ tức đã trả,1.890.034.228.500,515.463.880.500,1890034228500.0,515463880500.0
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,
Công ty Cổ phần Bia Sài Gòn - Miền Tây,Công ty Cổ phần Bia Sài Gòn - Miền Tây,Công ty Cổ phần Bia Sài Gòn - Miền Tây,Công ty Cổ phần Bia Sài Gòn - Miền Tây,Công ty Cổ phần Bia Sài Gòn - Miền Tây,,
Bán nguyên vật liệu,Công ty Cổ phần Bia Sài Gòn - Miền Tây > Bán nguyên vật liệu,Bán nguyên vật liệu,98.843.619.596,136.206.021.503,98843619596.0,136206021503.0
Mua hàng hóa,Công ty Cổ phần Bia Sài Gòn - Miền Tây > Mua hàng hóa,Mua hàng hóa,510.618.999.380,697.635.872.340,510618999380.0,697635872340.0
Cổ tức đã nhận,Công ty Cổ phần Bia Sài Gòn - Miền Tây > Cổ tức đã nhận,Cổ tức đã nhận,36.975.000.000,14.790.000.000,36975000000.0,14790000000.0
Giao dịch khác,Công ty Cổ phần Bia Sài Gòn - Miền Tây > Giao dịch khác,Giao dịch khác,389.750.000,2.793.096,389750000.0,2793096.0
Công ty Cổ phần Nước Giải Khát Chương Dương,Công ty Cổ phần Nước Giải Khát Chương Dương,Công ty Cổ phần Nước Giải Khát Chương Dương,Công ty Cổ phần Nước Giải Khát Chương Dương,Công ty Cổ phần Nước Giải Khát Chương Dương,,
Mua hàng hóa,Công ty Cổ phần Nước Giải Khát Chương Dương > Mua hàng hóa,Mua hàng hóa,1.176.778.266,2.404.314.777,1176778266.0,2404314777.0
Cổ tức đã nhận,Công ty Cổ phần Nước Giải Khát Chương Dương > Cổ tức đã nhận,Cổ tức đã nhận,4.209.200.000,-,4209200000.0,
Chi phí vận chuyển,Công ty Cổ phần Nước Giải Khát Chương Dương > Chi phí vận chuyển,Chi phí vận chuyển,-,11.411.312,,11411312.0
Giao dịch khác,Công ty Cổ phần Nước Giải Khát Chương Dương > Giao dịch khác,Giao dịch khác,234.454.500,66.298.617,234454500.0,66298617.0
Công ty Cổ phần Bia Sài Gòn - Quảng Ngãi,Công ty Cổ phần Bia Sài Gòn - Quảng Ngãi,Công ty Cổ phần Bia Sài Gòn - Quảng Ngãi,Công ty Cổ phần Bia Sài Gòn - Quảng Ngãi,Công ty Cổ phần Bia Sài Gòn - Quảng Ngãi,,
Bán nguyên vật liệu,Công ty Cổ phần Bia Sài Gòn - Quảng Ngãi > Bán nguyên vật liệu,Bán nguyên vật liệu,600.639.601.217,602.764.035.874,600639601217.0,602764035874.0
Mua hàng hóa,Công ty Cổ phần Bia Sài Gòn - Quảng Ngãi > Mua hàng hóa,Mua hàng hóa,1.855.159.201.260,1.838.548.089.630,1855159201260.0,1838548089630.0
Cổ tức đã nhận,Công ty Cổ phần Bia Sài Gòn - Quảng Ngãi > Cổ tức đã nhận,Cổ tức đã nhận,44.925.000.000,65.890.000.000,44925000000.0,65890000000.0
Giao dịch khác,Công ty Cổ phần Bia Sài Gòn - Quảng Ngãi > Giao dịch khác,Giao dịch khác,304.849.575,-,304849575.0,
Công ty Cổ phần Rượu Bình Tây,Công ty Cổ phần Rượu Bình Tây,Công ty Cổ phần Rượu Bình Tây,Công ty Cổ phần Rượu Bình Tây,Công ty Cổ phần Rượu Bình Tây,,
Mua hàng hóa,Công ty Cổ phần Rượu Bình Tây > Mua hàng hóa,Mua hàng hóa,1.071.657.851,308.000.000,1071657851.0,308000000.0
