row_label_raw,row_label_full,col_0,Quyềnsử dụng đất (*)VND,Phần mềmmáy vi tínhVND,TổngVND,numeric__Quyềnsử dụng đất (*)VND,numeric__Phần mềmmáy vi tínhVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,929.359.796.577,63.411.807.247,992.771.603.824,929359796577.0,63411807247.0,992771603824.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,1.032.676.800,1.032.676.800,,1032676800.0,1032676800.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,929.359.796.577,64.444.484.047,993.804.280.624,929359796577.0,64444484047.0,993804280624.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,61.373.443.056,62.368.582.067,123.742.025.123,61373443056.0,62368582067.0,123742025123.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,4.623.371.664,963.063.676,5.586.435.340,4623371664.0,963063676.0,5586435340.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,65.996.814.720,63.331.645.743,129.328.460.463,65996814720.0,63331645743.0,129328460463.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,867.986.353.521,1.043.225.180,869.029.578.701,867986353521.0,1043225180.0,869029578701.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,863.362.981.857,1.112.838.304,864.475.820.161,863362981857.0,1112838304.0,864475820161.0
