row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,,
Công ty Cổ phần Thương mại Vận Tài Biển Trường Phát Lộc,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Thương mại Vận Tài Biển Trường Phát Lộc,Công ty Cổ phần Thương mại Vận Tài Biển Trường Phát Lộc,Bên liên quan,Bán căn hộThuê văn phòng,12.954.006.8003.101.267.777,15.038.278.0001.407.947.777,,,1.2954006800310126e+20,1.5038278000140796e+20
Công ty Cổ phần Thương mại Vận Tài Biển Trường Phát Lộc,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Thương mại Vận Tài Biển Trường Phát Lộc,Công ty Cổ phần Thương mại Vận Tài Biển Trường Phát Lộc,Bên liên quan,Bán căn hộThuê văn phòng,16.055.274.577,16.446.225.777,,,16055274577.0,16446225777.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,,
Công ty TNHH Đầu tư Bất Đông Sản Phú Hưng,Phải thu ngắn hạn khác > Công ty TNHH Đầu tư Bất Đông Sản Phú Hưng,Công ty TNHH Đầu tư Bất Đông Sản Phú Hưng,Công ty liên kết,Chi phí tiện ích,86.399.310,-,,,86399310.0,
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,,,,
Công ty Cổ phần Thương mại Vận Tài Biển Trường Phát Lộc,Phải thu dài hạn khác > Công ty Cổ phần Thương mại Vận Tài Biển Trường Phát Lộc,Công ty Cổ phần Thương mại Vận Tài Biển Trường Phát Lộc,Bên liên quan,ICC,125.000.000.000,125.000.000.000,,,125000000000.0,125000000000.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,,,
Công ty TNHH Đầu tư Bất Đông Sản Phú Hưng,Người mua trả tiền trước ngắn hạn > Công ty TNHH Đầu tư Bất Đông Sản Phú Hưng,Công ty TNHH Đầu tư Bất Đông Sản Phú Hưng,Công ty liên kết,Trả trước tiền mua căn hộ,50.000.000.000,50.000.000.000,,,50000000000.0,50000000000.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,,,,
Công ty TNHH Luyện Cán Thép Hiệp Phát,Phải trả ngắn hạn khác > Công ty TNHH Luyện Cán Thép Hiệp Phát,Công ty TNHH Luyện Cán Thép Hiệp Phát,Công ty con trước đây,Phải trả khác,-,1.686.525.000.000,,,,1686525000000.0
Công ty TNHH Một thành viên Đầu tư Phát Đạt,Phải trả ngắn hạn khác > Công ty TNHH Một thành viên Đầu tư Phát Đạt,Công ty TNHH Một thành viên Đầu tư Phát Đạt,Công ty con,Mượn tiền,131.000.000.000,131.000.000.000,,,131000000000.0,131000000000.0
Công ty TNHH Một thành viên Đầu tư Phát Đạt,Phải trả ngắn hạn khác > Công ty TNHH Một thành viên Đầu tư Phát Đạt,Công ty TNHH Một thành viên Đầu tư Phát Đạt,Công ty con,Mượn tiền,131.000.000.000,1.817.525.000.000,,,131000000000.0,1817525000000.0
Vay,Vay,Vay,Vay,Vay,Vay,Vay,,,,
Ông Bùi Quang Anh Vũ,Vay > Ông Bùi Quang Anh Vũ,Ông Bùi Quang Anh Vũ,Bên liên quan,Vay,1.900.000.000,1.900.000.000,,,1900000000.0,1900000000.0
Ông Võ Minh Hân,Vay > Ông Võ Minh Hân,Ông Võ Minh Hân,Bên liên quan,Vay,1.700.000.000,1.700.000.000,,,1700000000.0,1700000000.0
Bà Trần Thị Hoài An,Vay > Bà Trần Thị Hoài An,Bà Trần Thị Hoài An,Bên liên quan,Vay,1.700.000.000,1.700.000.000,,,1700000000.0,1700000000.0
,,,,,5.300.000.000,5.300.000.000,,,5300000000.0,5300000000.0
