row_label_raw,row_label_full,col_0,Số cuối năm > % sở hữu,Số cuối năm > Số tiền VND,Số đầu năm > % sở hữu,Số đầu năm > Số tiền VND,numeric__Số cuối năm > % sở hữu,numeric__Số cuối năm > Số tiền VND,numeric__Số đầu năm > % sở hữu,numeric__Số đầu năm > Số tiền VND
"Công ty TNHH Bất Đông Sản Điền Gia Khang (""DGKG"") (i)","Công ty TNHH Bất Đông Sản Điền Gia Khang (""DGKG"") (i)","Công ty TNHH Bất Đông Sản Điền Gia Khang (""DGKG"") (i)","49,00",176.000.000.000,"49,00",176.000.000.000,49.0,176000000000.0,49.0,176000000000.0
"Công ty TNHH Bất Đông Sản Điền Gia Khánh (""DGKH"") (ii)","Công ty TNHH Bất Đông Sản Điền Gia Khánh (""DGKH"") (ii)","Công ty TNHH Bất Đông Sản Điền Gia Khánh (""DGKH"") (ii)","49,00",75.000.000.000,"49,00",75.000.000.000,49.0,75000000000.0,49.0,75000000000.0
"Công ty Cổ phần Phát triển Bất động sản Phát Đạt Ánh Dương (""PĐAD"") (iii)","Công ty Cổ phần Phát triển Bất động sản Phát Đạt Ánh Dương (""PĐAD"") (iii)","Công ty Cổ phần Phát triển Bất động sản Phát Đạt Ánh Dương (""PĐAD"") (iii)","48,00",45.000.000.000,"48,00",45.000.000.000,48.0,45000000000.0,48.0,45000000000.0
"Công ty TNHH Đầu tư Bất Đông Sản Phú Hưng (""PH"") (iv)","Công ty TNHH Đầu tư Bất Đông Sản Phú Hưng (""PH"") (iv)","Công ty TNHH Đầu tư Bất Đông Sản Phú Hưng (""PH"") (iv)",-,-,"49,90",-,,,49.9,
"Công ty Cổ phần Đầu tư Cầu Mỹ Lợi (""CML"")","Công ty Cổ phần Đầu tư Cầu Mỹ Lợi (""CML"")","Công ty Cổ phần Đầu tư Cầu Mỹ Lợi (""CML"")",-,-,"20,00",52.000.000.000,,,20.0,52000000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,296.000.000.000,,348.000.000.000,,296000000000.0,,348000000000.0
