row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__VND Số cuối năm
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,3.400.146.492,-,3.400.146.492,,3400146492.0,,3400146492.0
Thuế TNDN,Phải nộp > Thuế TNDN,Thuế TNDN,24.150.548.997,63.140.960.397,(43.727.776.228),43.563.733.166,24150548997.0,63140960397.0,-43727776228.0,43563733166.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,150.046.011,7.194.250.889,(2.220.484.500),5.123.812.400,150046011.0,7194250889.0,-2220484500.0,5123812400.0
Khác,Phải nộp > Khác,Khác,-,228.877.654,-,228.877.654,,228877654.0,,228877654.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,24.300.595.008,73.964.235.432,(45.948.260.728),52.316.569.712,24300595008.0,73964235432.0,-45948260728.0,52316569712.0
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế TNDN,Phải thu > Thuế TNDN,Thuế TNDN,2.324.851.886,-,(536.382.818),1.788.469.068,2324851886.0,,-536382818.0,1788469068.0
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,5.175.770.058,101.312.837.851,(106.488.607.909),-,5175770058.0,101312837851.0,-106488607909.0,
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,7.500.621.944,101.312.837.851,(107.024.990.727),1.788.469.068,7500621944.0,101312837851.0,-107024990727.0,1788469068.0
