row_label_raw,row_label_full,col_0,VNDPhần mềmmáy tính,numeric__VNDPhần mềmmáy tính
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,718.481.036,718481036.0
Mua trong năm,Mua trong năm,Mua trong năm,-,
Số cuối năm,Mua trong năm > Số cuối năm,Số cuối năm,718.481.036,718481036.0
Trong đó:Dã khấu hao hết,Mua trong năm > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,(718.481.036),-718481036.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,
Số đầu năm và số cuối năm,Giá trị khấu hao lũy kế: > Số đầu năm và số cuối năm,Số đầu năm và số cuối năm,(718.481.036),-718481036.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số đầu năm,Số đầu năm,Số đầu năm,-,
Số cuối năm,Số cuối năm,Số cuối năm,-,
