row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Nhà cửa và vật kiến trúc,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Nhà cửa và vật kiến trúc,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,118.199.556.440,860.000.000,119.059.556.440,118199556440.0,860000000.0,119059556440.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,7.306.972.991,68.357.297.281,75.664.270.272,7306972991.0,68357297281.0,75664270272.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,125.506.529.431,69.217.297.281,194.723.826.712,125506529431.0,69217297281.0,194723826712.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(630.286.015),(275.015.086),(905.301.101),-630286015.0,-275015086.0,-905301101.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(103.608.660),(162.409.924),(266.018.584),-103608660.0,-162409924.0,-266018584.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(733.894.675),(437.425.010),(1.171.319.685),-733894675.0,-437425010.0,-1171319685.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,117.569.270.425,584.984.914,118.154.255.339,117569270425.0,584984914.0,118154255339.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,124.772.634.756,68.779.872.271,193.552.507.027,124772634756.0,68779872271.0,193552507027.0
