row_label_raw,row_label_full,col_0,Máy móc và thiết bị,Phương tiện vận tải,VND Tổng cộng,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,2.244.925.203,3.066.637.720,5.311.562.923,2244925203.0,3066637720.0,5311562923.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,45.818.184,2.159.781.818,2.205.600.002,45818184.0,2159781818.0,2205600002.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,2.290.743.387,5.226.419.538,7.517.162.925,2290743387.0,5226419538.0,7517162925.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,2.135.834.294,2.966.637.720,5.102.472.014,2135834294.0,2966637720.0,5102472014.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(2.163.107.020),(2.721.143.321),(4.884.250.341),-2163107020.0,-2721143321.0,-4884250341.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(45.272.725),(292.716.625),(337.989.350),-45272725.0,-292716625.0,-337989350.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(2.208.379.745),(3.013.859.946),(5.222.239.691),-2208379745.0,-3013859946.0,-5222239691.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,81.818.183,345.494.399,427.312.582,81818183.0,345494399.0,427312582.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,82.363.642,2.212.559.592,2.294.923.234,82363642.0,2212559592.0,2294923234.0
