row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay,VND Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__VND Năm trước
Công ty TNHH Bất Động Sản Điền Gia Khang,Công ty TNHH Bất Động Sản Điền Gia Khang,Công ty TNHH Bất Động Sản Điền Gia Khang,Công ty liên kết,Góp vốn,-,176.000.000.000,,,,176000000000.0
Công ty TNHH Bất Động Sản Điền Gia Khánh,Công ty TNHH Bất Động Sản Điền Gia Khánh,Công ty TNHH Bất Động Sản Điền Gia Khánh,Công ty liên kết,Góp vốn,-,75.000.000.000,,,,75000000000.0
Công ty TNHH Đầu tư Bất Động Sản Phú Hưng,Công ty TNHH Đầu tư Bất Động Sản Phú Hưng,Công ty TNHH Đầu tư Bất Động Sản Phú Hưng,Công ty liên kết,Chi phí tiện ích,327.034.762,-,,,327034762.0,
Công ty TNHH Đầu tư Bất Động Sản Phú Hưng,Công ty TNHH Đầu tư Bất Động Sản Phú Hưng,Công ty TNHH Đầu tư Bất Động Sản Phú Hưng,Công ty liên kết,Trả trước tiền mua căn hộ,-,50.000.000.000,,,,50000000000.0
Công ty Cổ phần Thương mại Vận tải biển Trường Phát Lộc,Công ty Cổ phần Thương mại Vận tải biển Trường Phát Lộc,Công ty Cổ phần Thương mại Vận tải biển Trường Phát Lộc,Bên liên quan,Thuế văn phòng,1.920.000.000,1.920.000.000,,,1920000000.0,1920000000.0
Công ty Cổ phần Thương mại Vận tải biển Trường Phát Lộc,Công ty Cổ phần Thương mại Vận tải biển Trường Phát Lộc,Công ty Cổ phần Thương mại Vận tải biển Trường Phát Lộc,Bên liên quan,Khác,284.815.224,-,,,284815224.0,
Công ty Cổ phần Thương mại Vận tải biển Trường Phát Lộc,Công ty Cổ phần Thương mại Vận tải biển Trường Phát Lộc,Công ty Cổ phần Thương mại Vận tải biển Trường Phát Lộc,Bên liên quan,ICC,-,125.000.000.000,,,,125000000000.0
Công ty Cổ phần Thương mại Vận tải biển Trường Phát Lộc,Công ty Cổ phần Thương mại Vận tải biển Trường Phát Lộc,Công ty Cổ phần Thương mại Vận tải biển Trường Phát Lộc,Bên liên quan,Bán căn hộ,-,13.687.396.843,,,,13687396843.0
Công ty TNHH Một thành viên Đầu tư Phát Đạt,Công ty TNHH Một thành viên Đầu tư Phát Đạt,Công ty TNHH Một thành viên Đầu tư Phát Đạt,Công ty con,Thuế văn phòng,490.000.000,-,,,490000000.0,
Công ty TNHH Một thành viên Đầu tư Phát Đạt,Công ty TNHH Một thành viên Đầu tư Phát Đạt,Công ty TNHH Một thành viên Đầu tư Phát Đạt,Công ty con,Góp vốn,-,6.000.000.000,,,,6000000000.0
Bà Trần Thị Hoài An,Bà Trần Thị Hoài An,Bà Trần Thị Hoài An,Bên liên quan,Vay,-,1.700.000.000,,,,1700000000.0
Công ty Cổ phần Tư vấn Quản lý BDSC,Công ty Cổ phần Tư vấn Quản lý BDSC,Công ty Cổ phần Tư vấn Quản lý BDSC,Bên liên quan,Dịch vụ tư vấn,-,52.250.000,,,,52250000.0
