row_label_raw,row_label_full,Ông Phan Tôn Ngọc Tiến,Trường ban,col_2,numeric__Trường ban,numeric__col_2
Bà Nguyễn Ái Linh,Bà Nguyễn Ái Linh,Bà Nguyễn Ái Linh,Thành viên,,,
Bà Võ Thị Minh Hằng,Bà Võ Thị Minh Hằng,Bà Võ Thị Minh Hằng,Thành viên,Bổ nhiệm ngày 25 tháng 3 năm 2016,,
Ông Trương Ngọc Dũng,Ông Trương Ngọc Dũng,Ông Trương Ngọc Dũng,Thành viên,Từ nhiệm ngày 25 tháng 3 năm 2016,,
