row_label_raw,row_label_full,col_0,Số đầu nămVND,Số phải thu trong nămVND,Số đã thực thu trong nămVND,Số cuối nămVND,numeric__Số đầu nămVND,numeric__Số phải thu trong nămVND,numeric__Số đã thực thu trong nămVND,numeric__Số cuối nămVND
a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,,,,
Thuế giá trị gia tăng,a) Các khoản phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,1.517.480.333,20.740.766,1.517.480.333,20.740.766,1517480333.0,20740766.0,1517480333.0,20740766.0
"Thuế xuất khẩu, nhập khẩu","a) Các khoản phải thu > Thuế xuất khẩu, nhập khẩu","Thuế xuất khẩu, nhập khẩu",859.071.910,-,859.071.910,-,859071910.0,,859071910.0,
Thuế thu nhập doanh nghiệp,a) Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,9.169.275,695.118.297,9.169.275,695.118.297,9169275.0,695118297.0,9169275.0,695118297.0
Thuế khác,a) Các khoản phải thu > Thuế khác,Thuế khác,2.043.275.580,-,2.043.275.580,-,2043275580.0,,2043275580.0,
,,,4.428.997.098,715.859.063,4.428.997.098,715.859.063,4428997098.0,715859063.0,4428997098.0,715859063.0
,,,Số đầu nămVND,Số phải nộp trong nămVND,Số đã thực nộp trong nămVND,Số cuối nămVND,,,,
b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,,,,
Thuế giá trị gia tăng,b) Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,9.395.366.650,148.694.863.758,146.873.345.442,11.216.884.966,9395366650.0,148694863758.0,146873345442.0,11216884966.0
"Thuế xuất, nhập khẩu","b) Các khoản phải trả > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",(46.369.611),6.894.235.860,2.058.185.247,4.789.681.002,-46369611.0,6894235860.0,2058185247.0,4789681002.0
Thuế thu nhập doanh nghiệp,b) Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,41.889.780.956,153.627.347.892,115.117.002.764,80.400.126.084,41889780956.0,153627347892.0,115117002764.0,80400126084.0
Thuế thu nhập cá nhân,b) Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,3.351.385.387,27.002.894.020,26.266.543.644,4.087.735.763,3351385387.0,27002894020.0,26266543644.0,4087735763.0
Thuế nhà thầu,b) Các khoản phải trả > Thuế nhà thầu,Thuế nhà thầu,184.561.453,9.150.955.734,9.168.676.331,166.840.856,184561453.0,9150955734.0,9168676331.0,166840856.0
Thuế môn bài,b) Các khoản phải trả > Thuế môn bài,Thuế môn bài,-,34.000.000,34.000.000,-,,34000000.0,34000000.0,
Các loại thuế khác,b) Các khoản phải trả > Các loại thuế khác,Các loại thuế khác,-,2.197.243.352,1.411.619.970,785.623.382,,2197243352.0,1411619970.0,785623382.0
,,,54.774.724.835,347.601.540.616,300.929.373.398,101.446.892.053,54774724835.0,347601540616.0,300929373398.0,101446892053.0
