row_label_raw,row_label_full,col_0,Giá trị ghi số > Số cuối nămVND,Giá trị ghi số > Số đầu nămVND,numeric__Giá trị ghi số > Số cuối nămVND,numeric__Giá trị ghi số > Số đầu nămVND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.959.453.323.823,1.338.548.595.430,1959453323823.0,1338548595430.0
Đầu tư tài chính,Tài sản tài chính > Đầu tư tài chính,Đầu tư tài chính,1.006.966.262.300,1.605.856.780.999,1006966262300.0,1605856780999.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,807.887.212.278,696.130.693.427,807887212278.0,696130693427.0
Tổng cộng,Tài sản tài chính > Tổng cộng,Tổng cộng,3.774.306.798.401,3.640.536.069.856,3774306798401.0,3640536069856.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,2.689.954.068.636,2.962.124.604.168,2689954068636.0,2962124604168.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.221.124.807.365,1.187.547.013.540,1221124807365.0,1187547013540.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,52.334.954.054,49.766.292.191,52334954054.0,49766292191.0
Tổng cộng,Công nợ tài chính > Tổng cộng,Tổng cộng,3.963.413.830.055,4.199.437.909.899,3963413830055.0,4199437909899.0
