row_label_raw,row_label_full,Năm nay,Năm nay_1,Năm nay_2,Năm nay_3,Năm nay_4,Năm nay_5,numeric__Năm nay_1,numeric__Năm nay_2,numeric__Năm nay_3,numeric__Năm nay_4,numeric__Năm nay_5
,,,Dịch vụ vấn tài VND,Dịch vụ hàng hải đầu khí VND,Thường mại VND,Dịch vụ khác VND,Tổng VND,,,,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu > Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,3.333.502.613.454,729.442.059.507,2.029.753.467.971,54.942.069.139,6.147.640.210.071,3333502613454.0,729442059507.0,2029753467971.0,54942069139.0,6147640210071.0
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,3.333.502.613.454,729.442.059.507,2.029.753.467.971,54.942.069.139,6.147.640.210.071,3333502613454.0,729442059507.0,2029753467971.0,54942069139.0,6147640210071.0
Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,,,,,
Giá vốn từ bán hàng ra bên ngoài,Giá vốn > Giá vốn từ bán hàng ra bên ngoài,Giá vốn từ bán hàng ra bên ngoài,2.775.871.422.205,507.118.282.200,1.980.752.278.530,37.911.933.538,5.301.653.916.473,2775871422205.0,507118282200.0,1980752278530.0,37911933538.0,5301653916473.0
Tổng giá vốn,Giá vốn > Tổng giá vốn,Tổng giá vốn,2.775.871.422.205,507.118.282.200,1.980.752.278.530,37.911.933.538,5.301.653.916.473,2775871422205.0,507118282200.0,1980752278530.0,37911933538.0,5301653916473.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh > Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,557.631.191.249,222.323.777.307,49.001.189.441,17.030.135.601,845.986.293.598,557631191249.0,222323777307.0,49001189441.0,17030135601.0,845986293598.0
Chi phí không phân bổ,Kết quả hoạt động kinh doanh > Chi phí không phân bổ,Chi phí không phân bổ,,,,,(242.492.784.107),,,,,-242492784107.0
Lợi nhuận từ hoạt động kinh doanh,Kết quả hoạt động kinh doanh > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,603.493.509.491,,,,,603493509491.0
Doanh thu hoạt động tài chính,Kết quả hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,187.905.527.851,,,,,187905527851.0
"Phân lãi trong công ty liên doanh, liên kết","Kết quả hoạt động kinh doanh > Phân lãi trong công ty liên doanh, liên kết","Phân lãi trong công ty liên doanh, liên kết",,,,,27.116.030.203,,,,,27116030203.0
Lợi nhuận khác,Kết quả hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,,13.347.624.063,,,,,13347624063.0
Chi phí tài chính,Kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,,(160.954.653.291),,,,,-160954653291.0
Lợi nhuận trước thuế,Kết quả hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,670.908.038.317,,,,,670908038317.0
Chi phí thuế thu nhập doanh nghiệp,Kết quả hoạt động kinh doanh > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,(153.627.347.892),,,,,-153627347892.0
Thuế thu nhập doanh nghiệp hoãn lại,Kết quả hoạt động kinh doanh > Thuế thu nhập doanh nghiệp hoãn lại,Thuế thu nhập doanh nghiệp hoãn lại,,,,,16.405.428.406,,,,,16405428406.0
Lợi nhuận trong năm,Kết quả hoạt động kinh doanh > Lợi nhuận trong năm,Lợi nhuận trong năm,,,,,533.686.118.831,,,,,533686118831.0
Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,,,,,
Khẩu hao,Thông tin khác > Khẩu hao,Khẩu hao,,,,,577.821.892.223,,,,,577821892223.0
