row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,,3.895.123.694.813,3.723.063.047.259,100.0,,3895123694813.0,3723063047259.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,4,1.959.453.323.823,1.338.548.595.430,110.0,4.0,1959453323823.0,1338548595430.0
1. Tiền,1. Tiền,1. Tiền,111,,274.926.625.155,254.355.727.462,111.0,,274926625155.0,254355727462.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,1.684.526.698.668,1.084.192.867.968,112.0,,1684526698668.0,1084192867968.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,,961.028.495.000,1.559.919.013.699,120.0,,961028495000.0,1559919013699.0
1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,123,5,961.028.495.000,1.559.919.013.699,123.0,5.0,961028495000.0,1559919013699.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,816.269.281.450,703.352.215.662,130.0,,816269281450.0,703352215662.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,6,717.144.060.550,646.587.637.939,131.0,6.0,717144060550.0,646587637939.0
2. Trà trước cho người bán ngắn hạn,2. Trà trước cho người bán ngắn hạn,2. Trà trước cho người bán ngắn hạn,132,,10.368.032.759,9.433.461.013,132.0,,10368032759.0,9433461013.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,7,197.763.309.154,152.120.457.694,136.0,7.0,197763309154.0,152120457694.0
4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,137,8,(109.753.752.563),(104.789.340.984),137.0,8.0,-109753752563.0,-104789340984.0
5. Tài sản thiếu chờ xử lý,5. Tài sản thiếu chờ xử lý,5. Tài sản thiếu chờ xử lý,139,,747.631.550,-,139.0,,747631550.0,
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,9,95.340.021.221,86.071.502.887,140.0,9.0,95340021221.0,86071502887.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,96.147.700.387,86.879.182.053,141.0,,96147700387.0,86879182053.0
2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,149,,(807.679.166),(807.679.166),149.0,,-807679166.0,-807679166.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,63.032.573.319,35.171.719.581,150.0,,63032573319.0,35171719581.0
1. Chỉ phí trả trước ngắn hạn,1. Chỉ phí trả trước ngắn hạn,1. Chỉ phí trả trước ngắn hạn,151,,23.825.943.572,17.187.202.459,151.0,,23825943572.0,17187202459.0
2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,152,,38.490.770.684,13.555.520.024,152.0,,38490770684.0,13555520024.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,17,715.859.063,4.428.997.098,153.0,17.0,715859063.0,4428997098.0
