row_label_raw,row_label_full,col_0,Số cuối năm VND,Số đầu năm VND,numeric__Số cuối năm VND,numeric__Số đầu năm VND
a) Các khoản phải trả người bán là bên thứ ba,a) Các khoản phải trả người bán là bên thứ ba,a) Các khoản phải trả người bán là bên thứ ba,a) Các khoản phải trả người bán là bên thứ ba,a) Các khoản phải trả người bán là bên thứ ba,,
Công ty TNHH MTV Gas Venus,a) Các khoản phải trả người bán là bên thứ ba > Công ty TNHH MTV Gas Venus,Công ty TNHH MTV Gas Venus,94.117.356.740,8.609.965.699,94117356740.0,8609965699.0
Công ty Cổ phần Đầu khí FGas,a) Các khoản phải trả người bán là bên thứ ba > Công ty Cổ phần Đầu khí FGas,Công ty Cổ phần Đầu khí FGas,55.295.685.768,41.477.113.042,55295685768.0,41477113042.0
Wallem Ship Management Ltd,a) Các khoản phải trả người bán là bên thứ ba > Wallem Ship Management Ltd,Wallem Ship Management Ltd,11.926.699.609,11.955.552.412,11926699609.0,11955552412.0
Công ty Cổ phần Vận tải Hàng hải Quốc Việt,a) Các khoản phải trả người bán là bên thứ ba > Công ty Cổ phần Vận tải Hàng hải Quốc Việt,Công ty Cổ phần Vận tải Hàng hải Quốc Việt,10.009.543.285,10.009.543.285,10009543285.0,10009543285.0
Monjasa Pte Ltd,a) Các khoản phải trả người bán là bên thứ ba > Monjasa Pte Ltd,Monjasa Pte Ltd,-,3.298.569.756,,3298569756.0
Teekay Chartering Ltd,a) Các khoản phải trả người bán là bên thứ ba > Teekay Chartering Ltd,Teekay Chartering Ltd,-,2.444.456.540,,2444456540.0
Phải trả cho các đối tượng khác,a) Các khoản phải trả người bán là bên thứ ba > Phải trả cho các đối tượng khác,Phải trả cho các đối tượng khác,205.926.206.286,228.111.145.815,205926206286.0,228111145815.0
b) Phải trả người bán là các bên liên quan(Thuyết minh số 37),a) Các khoản phải trả người bán là bên thứ ba > b) Phải trả người bán là các bên liên quan(Thuyết minh số 37),b) Phải trả người bán là các bên liên quan(Thuyết minh số 37),305.058.480.345,350.166.715.973,305058480345.0,350166715973.0
,,,682.333.972.033,656.073.062.522,682333972033.0,656073062522.0
