row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,2.558.575.420.000,128.203.379.690,31.731.319.770,678.408.729.899,928.519.923.542,4.325.438.772.901,2558575420000.0,128203379690.0,31731319770.0,678408729899.0,928519923542.0,4325438772901.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,255.826.200.000,-,-,(255.826.200.000),7.200.000.000,7.200.000.000,255826200000.0,,,-255826200000.0,7200000000.0,7200000000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,415.564.502.300,67.901.298.117,483.465.800.417,,,,415564502300.0,67901298117.0,483465800417.0
Cổ tức công bố,Cổ tức công bố,Cổ tức công bố,-,-,-,(204.686.033.600),(27.678.959.462),(232.364.993.062),,,,-204686033600.0,-27678959462.0,-232364993062.0
Phân phối quỹ,Phân phối quỹ,Phân phối quỹ,-,1.779.495.894,15.921.141.719,(17.700.637.613),-,-,,1779495894.0,15921141719.0,-17700637613.0,,
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,(38.670.085.996),(4.579.391.329),(43.249.477.325),,,,-38670085996.0,-4579391329.0,-43249477325.0
"Thù lao Ban Tổng Giám đốc, Hội đồng Quản trị","Thù lao Ban Tổng Giám đốc, Hội đồng Quản trị","Thù lao Ban Tổng Giám đốc, Hội đồng Quản trị",-,-,-,(1.008.908.667),(383.091.333),(1.392.000.000),,,,-1008908667.0,-383091333.0,-1392000000.0
Điều chính lợi ích cổ đông không kiểm soát,Điều chính lợi ích cổ đông không kiểm soát,Điều chính lợi ích cổ đông không kiểm soát,-,-,-,10.238.612.832,(10.238.612.832),-,,,,10238612832.0,-10238612832.0,
Điều chính khác,Điều chính khác,Điều chính khác,-,930.038.954,(434.062.244),(5.783.242.326),(200.348.587.076),(205.635.852.692),,930038954.0,-434062244.0,-5783242326.0,-200348587076.0,-205635852692.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,2.814.401.620.000,130.912.914.538,47.218.399.245,580.536.736.829,760.392.579.627,4.333.462.250.239,2814401620000.0,130912914538.0,47218399245.0,580536736829.0,760392579627.0,4333462250239.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,-,-,-,-,155.106.018.500,155.106.018.500,,,,,155106018500.0,155106018500.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,450.110.653.904,83.575.464.927,533.686.118.831,,,,450110653904.0,83575464927.0,533686118831.0
Cổ tức công bố,Cổ tức công bố,Cổ tức công bố,-,-,-,(281.440.162.000),(23.814.186.212),(305.254.348.212),,,,-281440162000.0,-23814186212.0,-305254348212.0
Phân phối quỹ,Phân phối quỹ,Phân phối quỹ,-,74.673.796.757,-,(74.673.796.757),-,-,,74673796757.0,,-74673796757.0,,
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,(42.430.804.009),(3.375.954.756),(45.806.758.765),,,,-42430804009.0,-3375954756.0,-45806758765.0
"Thù lao Ban Tổng Giám đốc, Hội đồng Quản trị","Thù lao Ban Tổng Giám đốc, Hội đồng Quản trị","Thù lao Ban Tổng Giám đốc, Hội đồng Quản trị",-,-,-,(4.236.072.247),(290.978.333),(4.527.050.580),,,,-4236072247.0,-290978333.0,-4527050580.0
Điều chính lợi ích cổ đông không kiểm soát,Điều chính lợi ích cổ đông không kiểm soát,Điều chính lợi ích cổ đông không kiểm soát,-,-,-,(2.552.695.585),2.552.695.585,-,,,,-2552695585.0,2552695585.0,
Điều chính khác,Điều chính khác,Điều chính khác,-,-,-,(5.033.874.856),69.355.598,(4.964.519.258),,,,-5033874856.0,69355598.0,-4964519258.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,2.814.401.620.000,205.586.711.295,47.218.399.245,620.279.985.279,974.214.994.936,4.661.701.710.755,2814401620000.0,205586711295.0,47218399245.0,620279985279.0,974214994936.0,4661701710755.0
