row_label_raw,row_label_full,Năm trước,Năm trước_1,Năm trước_2,Năm trước_3,Năm trước_4,Năm trước_5,numeric__Năm trước_1,numeric__Năm trước_2,numeric__Năm trước_3,numeric__Năm trước_4,numeric__Năm trước_5
,,,Dịch vụ vận tải VND,Dịch vụ hàng hải dấu khí VND,Thường mại VND,Dịch vụ khác VND,Tổng VND,,,,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu thuần tử bán hàng ra bên ngoài,Doanh thu > Doanh thu thuần tử bán hàng ra bên ngoài,Doanh thu thuần tử bán hàng ra bên ngoài,3.185.014.757.914,707.654.482.233,2.794.094.974.647,46.810.601.029,6.733.574.815.823,3185014757914.0,707654482233.0,2794094974647.0,46810601029.0,6733574815823.0
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,3.185.014.757.914,707.654.482.233,2.794.094.974.647,46.810.601.029,6.733.574.815.823,3185014757914.0,707654482233.0,2794094974647.0,46810601029.0,6733574815823.0
Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,,,,,
Giá vốn tử bản hàng ra bên ngoài,Giá vốn > Giá vốn tử bản hàng ra bên ngoài,Giá vốn tử bản hàng ra bên ngoài,2.682.346.930.018,505.046.563.682,2.738.849.130.293,44.869.506.566,5.971.112.130.559,2682346930018.0,505046563682.0,2738849130293.0,44869506566.0,5971112130559.0
Tổng giá vốn,Giá vốn > Tổng giá vốn,Tổng giá vốn,2.682.346.930.018,505.046.563.682,2.738.849.130.293,44.869.506.566,5.971.112.130.559,2682346930018.0,505046563682.0,2738849130293.0,44869506566.0,5971112130559.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh > Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,502.667.827.896,202.607.918.551,55.245.844.354,1.941.094.463,762.462.685.264,502667827896.0,202607918551.0,55245844354.0,1941094463.0,762462685264.0
Chi phí không phần bổ,Kết quả hoạt động kinh doanh > Chi phí không phần bổ,Chi phí không phần bổ,,,,,(235.926.687.753),,,,,-235926687753.0
Lợi nhuận tử hoạt động kinh doanh,Kết quả hoạt động kinh doanh > Lợi nhuận tử hoạt động kinh doanh,Lợi nhuận tử hoạt động kinh doanh,,,,,526.535.997.511,,,,,526535997511.0
Doanh thu hoạt động tài chính,Kết quả hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,159.327.484.591,,,,,159327484591.0
"Phần lãi trong công ty liên doanh, liên kết","Kết quả hoạt động kinh doanh > Phần lãi trong công ty liên doanh, liên kết","Phần lãi trong công ty liên doanh, liên kết",,,,,26.785.452.437,,,,,26785452437.0
Lợi nhuận khác,Kết quả hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,,39.711.646.771,,,,,39711646771.0
Chi phí tài chính,Kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,,(150.405.149.992),,,,,-150405149992.0
Lợi nhuận trước thuế,Kết quả hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,601.955.431.318,,,,,601955431318.0
Thu nhập thuế thu nhập doanh nghiệp,Kết quả hoạt động kinh doanh > Thu nhập thuế thu nhập doanh nghiệp,Thu nhập thuế thu nhập doanh nghiệp,,,,,(126.175.814.457),,,,,-126175814457.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Kết quả hoạt động kinh doanh > Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,7.686.183.556,,,,,7686183556.0
Lợi nhuận trong năm,Kết quả hoạt động kinh doanh > Lợi nhuận trong năm,Lợi nhuận trong năm,,,,,483.465.800.417,,,,,483465800417.0
Thông tin khác,Thông tin khác,Thông tin khác,,,,,,,,,,
Khẩu hao,Thông tin khác > Khẩu hao,Khẩu hao,,,,,465.616.372.740,,,,,465616372740.0
