row_label_raw,row_label_full,col_0,Chi phí sửa chữa lớn tàu đầu thô và sản phẩm khí VND,Dự phòng khác VND,Tổng cộng VND,numeric__Chi phí sửa chữa lớn tàu đầu thô và sản phẩm khí VND,numeric__Dự phòng khác VND,numeric__Tổng cộng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,283.981.402.314,3.653.114.267,287.634.516.581,283981402314.0,3653114267.0,287634516581.0
Trích lập dự phòng bổ sung trong năm,Trích lập dự phòng bổ sung trong năm,Trích lập dự phòng bổ sung trong năm,137.338.301.521,3.727.698.439,141.065.999.960,137338301521.0,3727698439.0,141065999960.0
Hoàn nhập dự phòng (*),Hoàn nhập dự phòng (*),Hoàn nhập dự phòng (*),(95.082.296.820),-,(95.082.296.820),-95082296820.0,,-95082296820.0
Các khoản dự phòng đã sử dụng,Các khoản dự phòng đã sử dụng,Các khoản dự phòng đã sử dụng,(89.061.594.625),(954.425.335),(90.016.019.960),-89061594625.0,-954425335.0,-90016019960.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,237.175.812.390,6.426.387.371,243.602.199.761,237175812390.0,6426387371.0,243602199761.0
