row_label_raw,row_label_full,Thời gian quá hạn,Mức trích dự phòng,numeric__Mức trích dự phòng
Từ sáu tháng đến dưới một năm,Từ sáu tháng đến dưới một năm,Từ sáu tháng đến dưới một năm,30%,0.3
Từ một năm đến dưới hai năm,Từ một năm đến dưới hai năm,Từ một năm đến dưới hai năm,50%,0.5
Từ hai năm đến dưới ba năm,Từ hai năm đến dưới ba năm,Từ hai năm đến dưới ba năm,70%,0.7
Từ ba năm trở lên,Từ ba năm trở lên,Từ ba năm trở lên,100%,1.0
