row_label_raw,row_label_full,col_0,Quyền sử dụng đất có thời hạn Triệu đồng,Quyền sử dụng đất không thời hạn Triệu đồng,Phần mềm máy vi tính Triệu đồng,Tài sản khác Triệu đồng,Tổng cộng Triệu đồng,numeric__Quyền sử dụng đất có thời hạn Triệu đồng,numeric__Quyền sử dụng đất không thời hạn Triệu đồng,numeric__Phần mềm máy vi tính Triệu đồng,numeric__Tài sản khác Triệu đồng,numeric__Tổng cộng Triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,104.233,255.600,282.155,351,642.339,104233.0,255600.0,282155.0,351.0,642339.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,5.393,271.820,11.083,-,288.296,5393.0,271820.0,11083.0,,288296.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,109.626,527.420,293.238,351,930.635,109626.0,527420.0,293238.0,351.0,930635.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,8.160,-,180.622,351,189.133,8160.0,,180622.0,351.0,189133.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,2.071,-,42.474,-,44.545,2071.0,,42474.0,,44545.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,10.231,-,223.096,351,233.678,10231.0,,223096.0,351.0,233678.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,96.073,255.600,101.533,-,453.206,96073.0,255600.0,101533.0,,453206.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,99.395,527.420,70.142,-,696.957,99395.0,527420.0,70142.0,,696957.0
