row_label_raw,row_label_full,Chỉ tiêu > Số đầu năm,Quỹ đầu tư phát triển Triệu đồng > 70,Quỹ dự phòng tài chính Triệu đồng > 1.085.714,Quỹ dự trữ bổ sung vốn điều lệ Triệu đồng > 408.862,Quỹ khác thuộc vốn chủ sở hữu Triệu đồng > 94.879,Tổng cộng Triệu đồng > 1.589.525,numeric__Quỹ đầu tư phát triển Triệu đồng > 70,numeric__Quỹ dự phòng tài chính Triệu đồng > 1.085.714,numeric__Quỹ dự trữ bổ sung vốn điều lệ Triệu đồng > 408.862,numeric__Quỹ khác thuộc vốn chủ sở hữu Triệu đồng > 94.879,numeric__Tổng cộng Triệu đồng > 1.589.525
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,416.005,208.003,25.000,649.008,,416005.0,208003.0,25000.0,649008.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,(7.434),(7.434),,,,-7434.0,-7434.0
Số cuối năm,Số cuối năm,Số cuối năm,70,1.501.719,616.865,112.445,2.231.099,70.0,1501719.0,616865.0,112445.0,2231099.0
