row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,"Thiết bị,dụng cụ quản lýTriệu đồng",Tài sản khácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,"numeric__Thiết bị,dụng cụ quản lýTriệu đồng",numeric__Tài sản khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,423.310,223.861,317.308,242.116,11.830,1.218.425,423310.0,223861.0,317308.0,242116.0,11830.0,1218425.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,52.484,57.317,25.862,7.780,2.678,146.121,52484.0,57317.0,25862.0,7780.0,2678.0,146121.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(477),(1.047),(186),(751),-,(2.461),-477.0,-1047.0,-186.0,-751.0,,-2461.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,475.317,280.131,342.984,249.145,14.508,1.362.085,475317.0,280131.0,342984.0,249145.0,14508.0,1362085.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,112.136,134.269,179.333,216.236,10.122,652.096,112136.0,134269.0,179333.0,216236.0,10122.0,652096.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,16.122,20.873,36.384,14.680,830,88.889,16122.0,20873.0,36384.0,14680.0,830.0,88889.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(456),(1.047),(186),(751),-,(2.440),-456.0,-1047.0,-186.0,-751.0,,-2440.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,127.802,154.095,215.531,230.165,10.952,738.545,127802.0,154095.0,215531.0,230165.0,10952.0,738545.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,311.174,89.592,137.975,25.880,1.708,566.329,311174.0,89592.0,137975.0,25880.0,1708.0,566329.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,347.515,126.036,127.453,18.980,3.556,623.540,347515.0,126036.0,127453.0,18980.0,3556.0,623540.0
