row_label_raw,row_label_full,Bên liên quan,Các giao dịch,Phải thu/(phải trả),Phải thu/(phải trả)_1,numeric__Các giao dịch,numeric__Phải thu/(phải trả),numeric__Phải thu/(phải trả)_1
Bên liên quan,Bên liên quan,Bên liên quan,Các giao dịch,Số cuối nămTriệu đồng,Số đầu nămTriệu đồng,,,
Cổ đông lớn vàcác bên liênquan với cổ đông lớn,Bên liên quan > Cổ đông lớn vàcác bên liênquan với cổ đông lớn,Cổ đông lớn vàcác bên liênquan với cổ đông lớn,Tiền gửi thanh toán,(742.328),(309.328),,-742328.0,-309328.0
Cổ đông lớn vàcác bên liênquan với cổ đông lớn,Bên liên quan > Cổ đông lớn vàcác bên liênquan với cổ đông lớn,Cổ đông lớn vàcác bên liênquan với cổ đông lớn,Tiền gửi có kỳ hạn,(586.000),(1.102.500),,-586000.0,-1102500.0
Cổ đông lớn vàcác bên liênquan với cổ đông lớn,Bên liên quan > Cổ đông lớn vàcác bên liênquan với cổ đông lớn,Cổ đông lớn vàcác bên liênquan với cổ đông lớn,Tiền gửi ký quỹ,(14.000),(14.000),,-14000.0,-14000.0
"Các công tyNgân hàngđầu tư, gópvốn","Bên liên quan > Các công tyNgân hàngđầu tư, gópvốn","Các công tyNgân hàngđầu tư, gópvốn",Tiền gửi thanh toán vàvốn chuyên dụng,(515.822),(613.294),,-515822.0,-613294.0
"Các công tyNgân hàngđầu tư, gópvốn","Bên liên quan > Các công tyNgân hàngđầu tư, gópvốn","Các công tyNgân hàngđầu tư, gópvốn",Tiền gửi có kỳ hạn,(250.000),(1.373.523),,-250000.0,-1373523.0
"Các công tyNgân hàngđầu tư, gópvốn","Bên liên quan > Các công tyNgân hàngđầu tư, gópvốn","Các công tyNgân hàngđầu tư, gópvốn","Tiền gửi ký quỹ, đầm bảo thanh toán",(28.833),(23.722),,-28833.0,-23722.0
"Các công tyNgân hàngđầu tư, gópvốn","Bên liên quan > Các công tyNgân hàngđầu tư, gópvốn","Các công tyNgân hàngđầu tư, gópvốn",Cho vay,2.390.289,1.919.651,,2390289.0,1919651.0
"Các công tyNgân hàngđầu tư, gópvốn","Bên liên quan > Các công tyNgân hàngđầu tư, gópvốn","Các công tyNgân hàngđầu tư, gópvốn",Dự thu lãi cho vay,1.723,1.326,,1723.0,1326.0
Các công tycon,Bên liên quan > Các công tycon,Các công tycon,Tiền gửi thanh toán,(364.971),(716.324),,-364971.0,-716324.0
Các công tycon,Bên liên quan > Các công tycon,Các công tycon,Tiền gửi có kỳ hạn,-,(17.000),,,-17000.0
Các công tycon,Bên liên quan > Các công tycon,Các công tycon,Dự chỉ lãi tiền gửi,-,(22),,,-22.0
Các công tycon,Bên liên quan > Các công tycon,Các công tycon,Cho vay,2.495.000,200.000,,2495000.0,200000.0
Các công tycon,Bên liên quan > Các công tycon,Các công tycon,Dự thu lãi cho vay,48.006,15.879,,48006.0,15879.0
Các công tycon,Bên liên quan > Các công tycon,Các công tycon,Phải thu cổ tức,15.283,300.000,,15283.0,300000.0
Các công tycon,Bên liên quan > Các công tycon,Các công tycon,Đầu tư giấy tờ có giá,500.000,1.695.000,,500000.0,1695000.0
Các công tycon,Bên liên quan > Các công tycon,Các công tycon,Lãi dự thu đầu tư vào giấy tờ có giá,7.721,17.696,,7721.0,17696.0
Các công tycon,Bên liên quan > Các công tycon,Các công tycon,Cam kết trong giao dịch hoán đổitiền tệ,579.925,563.688,,579925.0,563688.0
Các công tycon,Bên liên quan > Các công tycon,Các công tycon,Lãi phải trả giao dịch hoán đổi tiền tệ,(5.357),(4.133),,-5357.0,-4133.0
Các công tycon,Bên liên quan > Các công tycon,Các công tycon,Phải thu từ hợp đồng hợp tác hỗ trợ côngnghệ thông tin,-,11.520,,,11520.0
Thành viên Hộiđồng Quản trịvà Ban Điềuhành của Ngậnhàng và cácbến liên quand đến các cánhân này,Bên liên quan > Thành viên Hộiđồng Quản trịvà Ban Điềuhành của Ngậnhàng và cácbến liên quand đến các cánhân này,Thành viên Hộiđồng Quản trịvà Ban Điềuhành của Ngậnhàng và cácbến liên quand đến các cánhân này,Tiền gửi thanh toán,(575.516),(488.162),,-575516.0,-488162.0
Thành viên Hộiđồng Quản trịvà Ban Điềuhành của Ngậnhàng và cácbến liên quand đến các cánhân này,Bên liên quan > Thành viên Hộiđồng Quản trịvà Ban Điềuhành của Ngậnhàng và cácbến liên quand đến các cánhân này,Thành viên Hộiđồng Quản trịvà Ban Điềuhành của Ngậnhàng và cácbến liên quand đến các cánhân này,Tiền gửi tiết kiệm,(273.338),(389.538),,-273338.0,-389538.0
Thành viên Hộiđồng Quản trịvà Ban Điềuhành của Ngậnhàng và cácbến liên quand đến các cánhân này,Bên liên quan > Thành viên Hộiđồng Quản trịvà Ban Điềuhành của Ngậnhàng và cácbến liên quand đến các cánhân này,Thành viên Hộiđồng Quản trịvà Ban Điềuhành của Ngậnhàng và cácbến liên quand đến các cánhân này,Tiền gửi có kỳ hạn,(2.692.495),(1.492.741),,-2692495.0,-1492741.0
Thành viên Hộiđồng Quản trịvà Ban Điềuhành của Ngậnhàng và cácbến liên quand đến các cánhân này,Bên liên quan > Thành viên Hộiđồng Quản trịvà Ban Điềuhành của Ngậnhàng và cácbến liên quand đến các cánhân này,Thành viên Hộiđồng Quản trịvà Ban Điềuhành của Ngậnhàng và cácbến liên quand đến các cánhân này,Cho vay,20.236,7.036,,20236.0,7036.0
Thành viên Hộiđồng Quản trịvà Ban Điềuhành của Ngậnhàng và cácbến liên quand đến các cánhân này,Bên liên quan > Thành viên Hộiđồng Quản trịvà Ban Điềuhành của Ngậnhàng và cácbến liên quand đến các cánhân này,Thành viên Hộiđồng Quản trịvà Ban Điềuhành của Ngậnhàng và cácbến liên quand đến các cánhân này,Dự thu lãi cho vay,90,23,,90.0,23.0
Thành viên Hộiđồng Quản trịvà Ban Điềuhành của Ngậnhàng và cácbến liên quand đến các cánhân này,Bên liên quan > Thành viên Hộiđồng Quản trịvà Ban Điềuhành của Ngậnhàng và cácbến liên quand đến các cánhân này,Thành viên Hộiđồng Quản trịvà Ban Điềuhành của Ngậnhàng và cácbến liên quand đến các cánhân này,Phải thu dịch vụ thu hộ kèm hỗ trợ quảnlý trái phiếu,292.647,29.258,,292647.0,29258.0
