row_label_raw,row_label_full,Chỉ tiêu > Số đầu năm > Tăng trong năm (*) > Lợi nhuận trong năm,Vốn điều lệ Triệu đồng > 16.088.488 > 3.984.418 > -,Thặng dư vốn cổ phần Triệu đồng > 535.956 > -,Cổ phiếu quỹ Triệu đồng > (413.448) > -,Vốn đầu tư xây dựng cơ bản Triệu đồng > 89 > -,Quỹ của TCTD Triệu đồng > 1.589.525 > -,Lợi nhuận chưa phân phối Triệu đồng > 4.469.457 > (3.984.418) > 6.037.952,Tổng công Triệu đồng > 22.270.067 > - > 6.037.952,numeric__Vốn điều lệ Triệu đồng > 16.088.488 > 3.984.418 > -,numeric__Thặng dư vốn cổ phần Triệu đồng > 535.956 > -,numeric__Cổ phiếu quỹ Triệu đồng > (413.448) > -,numeric__Vốn đầu tư xây dựng cơ bản Triệu đồng > 89 > -,numeric__Quỹ của TCTD Triệu đồng > 1.589.525 > -,numeric__Lợi nhuận chưa phân phối Triệu đồng > 4.469.457 > (3.984.418) > 6.037.952,numeric__Tổng công Triệu đồng > 22.270.067 > - > 6.037.952
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,-,649.008,(649.008),-,,,,,649008.0,-649008.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(10.000),(10.000),,,,,,-10000.0,-10000.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(7.434),-,(7.434),,,,,-7434.0,,-7434.0
Số cuối năm,Số cuối năm,Số cuối năm,20.072.906,535.956,(413.448),89,2.231.099,5.863.983,28.290.585,20072906.0,535956.0,-413448.0,89.0,2231099.0,5863983.0,28290585.0
