row_label_raw,row_label_full,a) Ngắn hạn:
Bên khác,Bên khác,Bên khác
Công ty Cổ phần Xây dựng Đèo cả (Tên cũ: Công ty CP ĐT,Công ty Cổ phần Xây dựng Đèo cả (Tên cũ: Công ty CP ĐT,Công ty Cổ phần Xây dựng Đèo cả (Tên cũ: Công ty CP ĐT
Công ty TNHH Thủy Tùng Châu,Công ty TNHH Thủy Tùng Châu,Công ty TNHH Thủy Tùng Châu
Công ty Cổ phần Phú Thịnh Contraction,Công ty Cổ phần Phú Thịnh Contraction,Công ty Cổ phần Phú Thịnh Contraction
Công ty Cổ phần XDTN điện & trang trí nội thất EMTC3,Công ty Cổ phần XDTN điện & trang trí nội thất EMTC3,Công ty Cổ phần XDTN điện & trang trí nội thất EMTC3
Công ty TNHH TM & XD Lâm Tùng Phương,Công ty TNHH TM & XD Lâm Tùng Phương,Công ty TNHH TM & XD Lâm Tùng Phương
Công ty TNHH đầu tư chuyển giao công nghệ Toàn Cầu,Công ty TNHH đầu tư chuyển giao công nghệ Toàn Cầu,Công ty TNHH đầu tư chuyển giao công nghệ Toàn Cầu
Công ty Cổ phần xây dựng Đại Thành,Công ty Cổ phần xây dựng Đại Thành,Công ty Cổ phần xây dựng Đại Thành
Công ty xăng đầu Tiền Giang,Công ty xăng đầu Tiền Giang,Công ty xăng đầu Tiền Giang
Công ty TNHH MTV Đầu tư Sài gòn,Công ty TNHH MTV Đầu tư Sài gòn,Công ty TNHH MTV Đầu tư Sài gòn
Công ty Cổ phần Thép Sao Việt Hưng Yên,Công ty Cổ phần Thép Sao Việt Hưng Yên,Công ty Cổ phần Thép Sao Việt Hưng Yên
Công ty cổ phần T.Đ.T,Công ty cổ phần T.Đ.T,Công ty cổ phần T.Đ.T
Công ty TNHH son dèo nhiệt Synthetic,Công ty TNHH son dèo nhiệt Synthetic,Công ty TNHH son dèo nhiệt Synthetic
Công Ty Cổ Phần Tập Đoàn Trí Nam,Công Ty Cổ Phần Tập Đoàn Trí Nam,Công Ty Cổ Phần Tập Đoàn Trí Nam
Phải trả cho các đối tượng khác,Phải trả cho các đối tượng khác,Phải trả cho các đối tượng khác
Bên liên quan,Bên liên quan,Bên liên quan
Công ty Cổ phần Đầu tư và XD ICV Việt Nam,Công ty Cổ phần Đầu tư và XD ICV Việt Nam,Công ty Cổ phần Đầu tư và XD ICV Việt Nam
Công ty Cổ phần tập đoán Đèo cả,Công ty Cổ phần tập đoán Đèo cả,Công ty Cổ phần tập đoán Đèo cả
Công ty cổ phần An Ninh Đèo cả,Công ty cổ phần An Ninh Đèo cả,Công ty cổ phần An Ninh Đèo cả
Công ty Cổ phần Tư vấn xây dựng Hoàng Long,Công ty Cổ phần Tư vấn xây dựng Hoàng Long,Công ty Cổ phần Tư vấn xây dựng Hoàng Long
Công ty cổ phần quản lý và khai thác đường cao tốc Đèo cả,Công ty cổ phần quản lý và khai thác đường cao tốc Đèo cả,Công ty cổ phần quản lý và khai thác đường cao tốc Đèo cả
b) Dài hạn,b) Dài hạn,b) Dài hạn
