row_label_raw,row_label_full,Bên cho vay > -Vay ngắn hạn NH TP Bank-CN Thăng Long HN > - Công ty Cổ phần Tập đoàn Đẻo cả > - Công ty Cổ phần Đầu tư Hải Thạch B.O.T > - Vay CBCNV Công ty,"Hợp đồng > HĐ tin dụng số 47/2020 /HĐTD/TLG01 ngày 16/9/2020 và PL HĐ tin dụng số 432/2021 /HĐTD /TLG01 ngày 14/10/2021 > Hợp đồng vay số 0201 ngày 02/01/2020 > Hợp đồng vay từng lần, PL > Hợp đồng và các phụ lục kèm theo ký với từng cá nhân cho vay",Hạn mức/Số tiền vay (VND) > 300.000.000.000 > 400.000.000.000 > 202.000.000.000 > Không giới hạn,Thời hạn vay > Theo từng lần nhận nợ nhưng không quá 10 tháng > 12 tháng > Từ ngày ký hợp đồng đến khi kết thúc hợp đồng,Lãi suất > Ghi trên từng giấy nhận nợ > 8%/năm > Lãi suất trả bằng lãi suất tiền gửi kỳ hạn 3 tháng tại NH Công ty đang giao dịch,Mục đích vay > Phục vụ sản xuất kinh doanh,Hình thức đảm bảo > Tín chấp,"numeric__Hợp đồng > HĐ tin dụng số 47/2020 /HĐTD/TLG01 ngày 16/9/2020 và PL HĐ tin dụng số 432/2021 /HĐTD /TLG01 ngày 14/10/2021 > Hợp đồng vay số 0201 ngày 02/01/2020 > Hợp đồng vay từng lần, PL > Hợp đồng và các phụ lục kèm theo ký với từng cá nhân cho vay",numeric__Hạn mức/Số tiền vay (VND) > 300.000.000.000 > 400.000.000.000 > 202.000.000.000 > Không giới hạn,numeric__Thời hạn vay > Theo từng lần nhận nợ nhưng không quá 10 tháng > 12 tháng > Từ ngày ký hợp đồng đến khi kết thúc hợp đồng,numeric__Lãi suất > Ghi trên từng giấy nhận nợ > 8%/năm > Lãi suất trả bằng lãi suất tiền gửi kỳ hạn 3 tháng tại NH Công ty đang giao dịch,numeric__Mục đích vay > Phục vụ sản xuất kinh doanh,numeric__Hình thức đảm bảo > Tín chấp
** Thông tin trình bày bổ sung các hợp đồng vay dài hạn:,** Thông tin trình bày bổ sung các hợp đồng vay dài hạn:,** Thông tin trình bày bổ sung các hợp đồng vay dài hạn:,** Thông tin trình bày bổ sung các hợp đồng vay dài hạn:,** Thông tin trình bày bổ sung các hợp đồng vay dài hạn:,,,,,,,,,,
Bên cho vay,Bên cho vay,Bên cho vay,Hợp đồng,Hạn mức/Số tiền vay (VND),Thời hạn vay,Lãi suất,Mục đích vay,Hình thức đảm bảo,,,,,,
Công Ty Cổ phần Tư Văn Xây Dụng A2Z,Bên cho vay > Công Ty Cổ phần Tư Văn Xây Dụng A2Z,Công Ty Cổ phần Tư Văn Xây Dụng A2Z,"Hợp đồng vay số 30.07/2019/DII-A2Z ngày 30/7/2019, PLHĐ",2.000.000.000,24 tháng,6%/năm,Phục vụ sản xuất kinh doanh,Tín chấp,,2000000000.0,,,,
- Công ty Cổ phần Đầu tư hạ tầng Miền Bắc,Bên cho vay > - Công ty Cổ phần Đầu tư hạ tầng Miền Bắc,- Công ty Cổ phần Đầu tư hạ tầng Miền Bắc,"Hợp đồng vay từng lần, PL",92.000.000.000,24 tháng,8%/năm,Phục vụ sản xuất kinh doanh,Tín chấp,,92000000000.0,,,,
- Công ty Cổ Phần Đầu tư Hải Thạch B.O.T,Bên cho vay > - Công ty Cổ Phần Đầu tư Hải Thạch B.O.T,- Công ty Cổ Phần Đầu tư Hải Thạch B.O.T,Hợp đồng vay số 15062021/HTBOT-DII ngày 15/06/2021,125.400.000.000,24 tháng,8%/năm,Phục vụ sản xuất kinh doanh,Tín chấp,,125400000000.0,,,,
- Ngân hàng TM Cổ phần Tiên Phong - TPBank,Bên cho vay > - Ngân hàng TM Cổ phần Tiên Phong - TPBank,- Ngân hàng TM Cổ phần Tiên Phong - TPBank,Hợp đồng vay số 19/2021/HDTD/TLG/01 ngày 27/01/2021,1.113.000.000,60 tháng,"8%/năm đến ngày 27/1/2022, sau đó điều chỉnh định năm",Phục vụ sản xuất kinh doanh,Cả vẹt xe ô tô,,1113000000.0,,,,
