row_label_raw,row_label_full,col_0,Trích lập dự phòng,Giá trị,Trích lập dự phòng_1,Giá trị_1,numeric__Trích lập dự phòng,numeric__Giá trị,numeric__Trích lập dự phòng_1,numeric__Giá trị_1
a) Ngắn hạn:,a) Ngắn hạn:,a) Ngắn hạn:,873.033.836,155.618.537.918,1.032.556.836,165.975.402.365,873033836.0,155618537918.0,1032556836.0,165975402365.0
Tạm ứng,Tạm ứng,Tạm ứng,-,1.842.628.988,159.523.000,6.532.842.735,,1842628988.0,159523000.0,6532842735.0
Phải thu khác,Phải thu khác,Phải thu khác,873.033.836,153.675.908.930,873.033.836,159.342.559.630,873033836.0,153675908930.0,873033836.0,159342559630.0
Bên khác,Bên khác,Bên khác,873.033.836,994.547.848,873.033.836,35.564.257.848,873033836.0,994547848.0,873033836.0,35564257848.0
+ Công ty Cổ phần Xây dựng Đèo Cả (Tên cũ: Công ty CP ĐTXD Hải Thạch),+ Công ty Cổ phần Xây dựng Đèo Cả (Tên cũ: Công ty CP ĐTXD Hải Thạch),+ Công ty Cổ phần Xây dựng Đèo Cả (Tên cũ: Công ty CP ĐTXD Hải Thạch),-,21.520.587,-,34.591.230.587,,21520587.0,,34591230587.0
+ Cục Quản lý đường bộ III,+ Cục Quản lý đường bộ III,+ Cục Quản lý đường bộ III,837.818.000,837.818.000,837.818.000,837.818.000,837818000.0,837818000.0,837818000.0,837818000.0
+ Phạm Đình Nam,+ Phạm Đình Nam,+ Phạm Đình Nam,3.817.479,3.817.479,3.817.479,3.817.479,3817479.0,3817479.0,3817479.0,3817479.0
+ Đối tượng khác,+ Đối tượng khác,+ Đối tượng khác,31.398.357,131.391.782,31.398.357,131.391.782,31398357.0,131391782.0,31398357.0,131391782.0
Bên liên quan,Bên liên quan,Bên liên quan,-,152.681.361.082,-,123.778.301.782,,152681361082.0,,123778301782.0
+ Công ty Cổ Phần BOT Bắc Giang Lạng Sơn,+ Công ty Cổ Phần BOT Bắc Giang Lạng Sơn,+ Công ty Cổ Phần BOT Bắc Giang Lạng Sơn,-,137.800.000.000,-,55.300.000.000,,137800000000.0,,55300000000.0
+ Công ty cổ phần Đầu tư Đèo Cả,+ Công ty cổ phần Đầu tư Đèo Cả,+ Công ty cổ phần Đầu tư Đèo Cả,-,-,-,32.000.000.000,,,,32000000000.0
+ Công ty cổ phần Đầu tư Đèo Cả- Bảo hành công trình,+ Công ty cổ phần Đầu tư Đèo Cả- Bảo hành công trình,+ Công ty cổ phần Đầu tư Đèo Cả- Bảo hành công trình,-,14.881.361.082,-,36.478.301.782,,14881361082.0,,36478301782.0
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",-,100.000.000,-,100.000.000,,100000000.0,,100000000.0
Bên liên quan,Bên liên quan,Bên liên quan,,,,,,,,
Công ty cổ phần Tập đoàn Đèo cá,Bên liên quan > Công ty cổ phần Tập đoàn Đèo cá,Công ty cổ phần Tập đoàn Đèo cá,-,100.000.000,-,100.000.000,,100000000.0,,100000000.0
b) Dài hạn,b) Dài hạn,b) Dài hạn,,,,,,,,
Cộng,b) Dài hạn > Cộng,Cộng,873.033.836,155.618.537.918,1.032.556.836,165.975.402.365,873033836.0,155618537918.0,1032556836.0,165975402365.0
