row_label_raw,row_label_full,Năm trước,Doanh thu khác,Dịch vụ trung chuyển,Kinh doanh bất động sản,"Hoạt động duy tu bảo dưỡng, hầm",Vận hành các trạm thu phí,Hoạt động xây lắp,Tổng cộng,numeric__Doanh thu khác,numeric__Dịch vụ trung chuyển,numeric__Kinh doanh bất động sản,"numeric__Hoạt động duy tu bảo dưỡng, hầm",numeric__Vận hành các trạm thu phí,numeric__Hoạt động xây lắp,numeric__Tổng cộng
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,4.890.572.547,12.256.638.637,4.664.914.551,273.882.087.781,57.490.029.421,191.579.031.010,544.763.273.947,4890572547.0,12256638637.0,4664914551.0,273882087781.0,57490029421.0,191579031010.0,544763273947.0
Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,4.890.572.547,12.256.638.637,4.664.914.551,273.882.087.781,57.490.029.421,191.579.031.010,544.763.273.947,4890572547.0,12256638637.0,4664914551.0,273882087781.0,57490029421.0,191579031010.0,544763273947.0
Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,(3.540.341.067),(3.355.126.954),2.530.611.747,73.063.555.015,10.949.768.883,(12.222.483.673),67.425.983.951,-3540341067.0,-3355126954.0,2530611747.0,73063555015.0,10949768883.0,-12222483673.0,67425983951.0
Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,,,,(20.863.981.680),,,,,,,-20863981680.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,,46.562.002.271,,,,,,,46562002271.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,28.620.814.527,,,,,,,28620814527.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,,(29.789.067.552),,,,,,,-29789067552.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,,324.320.371,,,,,,,324320371.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,,,(333.651.011),,,,,,,-333651011.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,,(4.601.890.606),,,,,,,-4601890606.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,,40.782.528.000,,,,,,,40782528000.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,,,,4.143.673.094,,,,,,,4143673094.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,,,,,,,6.579.604.547,,,,,,,6579604547.0
