row_label_raw,row_label_full,col_0,31/12/2021 > Trich lập dự phòng,31/12/2021 > Giá trị,01/01/2021 > Trich lập dự phòng,01/01/2021 > Giá trị,numeric__31/12/2021 > Trich lập dự phòng,numeric__31/12/2021 > Giá trị,numeric__01/01/2021 > Trich lập dự phòng,numeric__01/01/2021 > Giá trị
a) Ngắn hạn:,a) Ngắn hạn:,a) Ngắn hạn:,1.301.620.413,11.029.529.737,1.303.951.913,9.706.806.018,1301620413.0,11029529737.0,1303951913.0,9706806018.0
Bên khác,Bên khác,Bên khác,1.301.620.413,11.029.529.737,1.303.951.913,9.623.193.356,1301620413.0,11029529737.0,1303951913.0,9623193356.0
Công ty TNHH Tư Vấn ĐT & XD AMICONS,Công ty TNHH Tư Vấn ĐT & XD AMICONS,Công ty TNHH Tư Vấn ĐT & XD AMICONS,180.000.000,180.000.000,180.000.000,180.000.000,180000000.0,180000000.0,180000000.0,180000000.0
Công ty cổ phần nhà thép tiền chế Chí Việt,Công ty cổ phần nhà thép tiền chế Chí Việt,Công ty cổ phần nhà thép tiền chế Chí Việt,673.571.100,673.571.100,673.571.100,673.571.100,673571100.0,673571100.0,673571100.0,673571100.0
Công ty CP Pacific Dinco,Công ty CP Pacific Dinco,Công ty CP Pacific Dinco,-,-,6.300.000,6.300.000,,,6300000.0,6300000.0
Công ty TNHH TM & XD Thịnh Quốc,Công ty TNHH TM & XD Thịnh Quốc,Công ty TNHH TM & XD Thịnh Quốc,181.774.313,181.774.313,181.774.313,181.774.313,181774313.0,181774313.0,181774313.0,181774313.0
Công ty Cổ phần kỹ thuật Ánh Minh,Công ty Cổ phần kỹ thuật Ánh Minh,Công ty Cổ phần kỹ thuật Ánh Minh,-,912.353.431,-,-,,912353431.0,,
Công ty TNHH MTV Toyota Đà Nẵng,Công ty TNHH MTV Toyota Đà Nẵng,Công ty TNHH MTV Toyota Đà Nẵng,-,300.000.000,-,-,,300000000.0,,
Công ty TNHH MTV TM & DV kỹ thuật điện C.D.E,Công ty TNHH MTV TM & DV kỹ thuật điện C.D.E,Công ty TNHH MTV TM & DV kỹ thuật điện C.D.E,-,3.599.297.300,-,-,,3599297300.0,,
Công ty TNHH Đá Hóa An 1,Công ty TNHH Đá Hóa An 1,Công ty TNHH Đá Hóa An 1,-,2.787.370.611,-,-,,2787370611.0,,
Công ty TNHH XNK Thái Châu,Công ty TNHH XNK Thái Châu,Công ty TNHH XNK Thái Châu,-,145.000.000,-,-,,145000000.0,,
Công ty Dịch vụ Điện Lực Miền Trung,Công ty Dịch vụ Điện Lực Miền Trung,Công ty Dịch vụ Điện Lực Miền Trung,-,425.036.000,-,-,,425036000.0,,
Công ty TNHH MTV Đầu tư Sài Gòn,Công ty TNHH MTV Đầu tư Sài Gòn,Công ty TNHH MTV Đầu tư Sài Gòn,-,-,-,6.500.000.000,,,,6500000000.0
Công ty TNHH MTV Minh Đạt,Công ty TNHH MTV Minh Đạt,Công ty TNHH MTV Minh Đạt,-,-,-,200.000.000,,,,200000000.0
Công ty TNHH son dẻo nhiệt Synthetic,Công ty TNHH son dẻo nhiệt Synthetic,Công ty TNHH son dẻo nhiệt Synthetic,-,-,-,250.000.000,,,,250000000.0
Đối tượng khác,Đối tượng khác,Đối tượng khác,266.275.000,1.825.126.982,262.306.500,1.631.547.943,266275000.0,1825126982.0,262306500.0,1631547943.0
Bên liên quan,Bên liên quan,Bên liên quan,-,-,-,83.612.662,,,,83612662.0
Công ty Cổ phần Tư vấn xây dựng Hoàng Long,Công ty Cổ phần Tư vấn xây dựng Hoàng Long,Công ty Cổ phần Tư vấn xây dựng Hoàng Long,-,-,-,83.612.662,,,,83612662.0
b) Dải hạn,b) Dải hạn,b) Dải hạn,-,-,-,-,,,,
Cộng,b) Dải hạn > Cộng,Cộng,1.301.620.413,11.029.529.737,1.303.951.913,9.706.806.018,1301620413.0,11029529737.0,1303951913.0,9706806018.0
