row_label_raw,row_label_full,a) Tài sản tài chính,Giá trị sổ sách > 31/12/2021 > Giá trị,Giá trị sổ sách > 31/12/2021 > Dự phòng,Giá trị sổ sách > 01/01/2021 > Giá trị,Giá trị sổ sách > 01/01/2021 > Dự phòng,Giá trị hợp lý > 31/12/2021,Giá trị hợp lý > 01/01/2021,numeric__Giá trị sổ sách > 31/12/2021 > Giá trị,numeric__Giá trị sổ sách > 31/12/2021 > Dự phòng,numeric__Giá trị sổ sách > 01/01/2021 > Giá trị,numeric__Giá trị sổ sách > 01/01/2021 > Dự phòng,numeric__Giá trị hợp lý > 31/12/2021,numeric__Giá trị hợp lý > 01/01/2021
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,11.600.983.258,-,76.734.825.238,-,11.600.983.258,76.734.825.238,11600983258.0,,76734825238.0,,11600983258.0,76734825238.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,631.018.108.129,11.035.892.482,288.399.822.070,11.035.892.482,619.982.215.647,277.363.929.588,631018108129.0,11035892482.0,288399822070.0,11035892482.0,619982215647.0,277363929588.0
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,11.029.529.737,1.301.620.413,9.706.806.018,1.303.951.913,9.727.909.324,8.402.854.105,11029529737.0,1301620413.0,9706806018.0,1303951913.0,9727909324.0,8402854105.0
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,155.618.537.918,873.033.836,165.975.402.365,1.032.556.836,154.745.504.082,164.942.845.529,155618537918.0,873033836.0,165975402365.0,1032556836.0,154745504082.0,164942845529.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,2.932.165.900.000,-,2.875.965.900.000,-,2.932.165.900.000,2.875.965.900.000,2932165900000.0,,2875965900000.0,,2932165900000.0,2875965900000.0
Cộng,Cộng,Cộng,3.741.433.059.042,13.210.546.731,3.416.782.755.691,13.372.401.231,3.728.222.512.311,3.403.410.354.460,3741433059042.0,13210546731.0,3416782755691.0,13372401231.0,3728222512311.0,3403410354460.0
b) Nợ phải trả tài chính,b) Nợ phải trả tài chính,b) Nợ phải trả tài chính,Giá trị sổ sách,Giá trị sổ sách,Giá trị sổ sách,Giá trị sổ sách,Giá trị hợp lý,Giá trị hợp lý,,,,,,
b) Nợ phải trả tài chính,b) Nợ phải trả tài chính,b) Nợ phải trả tài chính,31/12/2021,31/12/2021,01/01/2021,01/01/2021,31/12/2021,01/01/2021,,,,,,
b) Nợ phải trả tài chính,b) Nợ phải trả tài chính,b) Nợ phải trả tài chính,Giá trị,Dự phòng,Giá trị,Dự phòng,,,,,,,,
Phải trả cho người bán,b) Nợ phải trả tài chính > Phải trả cho người bán,Phải trả cho người bán,230.529.989.839,-,166.742.868.656,-,230.529.989.839,166.742.868.656,230529989839.0,,166742868656.0,,230529989839.0,166742868656.0
Người mua trả tiền trước,b) Nợ phải trả tài chính > Người mua trả tiền trước,Người mua trả tiền trước,7.648.775.163,-,108.803.239.940,-,7.648.775.163,108.803.239.940,7648775163.0,,108803239940.0,,7648775163.0,108803239940.0
Vay và nợ,b) Nợ phải trả tài chính > Vay và nợ,Vay và nợ,451.568.609.318,-,433.314.628.142,-,451.568.609.318,433.314.628.142,451568609318.0,,433314628142.0,,451568609318.0,433314628142.0
Phải trả người lao động,b) Nợ phải trả tài chính > Phải trả người lao động,Phải trả người lao động,8.197.991.848,-,11.253.522.652,-,8.197.991.848,11.253.522.652,8197991848.0,,11253522652.0,,8197991848.0,11253522652.0
Các khoản phải trả khác,b) Nợ phải trả tài chính > Các khoản phải trả khác,Các khoản phải trả khác,54.080.267.206,-,34.020.233.167,-,54.080.267.206,34.020.233.167,54080267206.0,,34020233167.0,,54080267206.0,34020233167.0
Cộng,b) Nợ phải trả tài chính > Cộng,Cộng,752.025.633.374,,754.134.492.557,,752.025.633.374,754.134.492.557,752025633374.0,,754134492557.0,,752025633374.0,754134492557.0
