row_label_raw,row_label_full,col_0,Vốn góp của CSH,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Cộng,numeric__Vốn góp của CSH,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Cộng
Số dư năm trước,Số dư năm trước,Số dư năm trước,2.270.090.900.000,-,3.200.097.043,23.878.778.474,2.297.169.775.517,2270090900000.0,,3200097043.0,23878778474.0,2297169775517.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,403.750.000.000,(208.000.000),-,-,403.542.000.000,403750000000.0,-208000000.0,,,403542000000.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,40.782.528.000,40.782.528.000,,,,40782528000.0,40782528000.0
Tăng do trích lập từ lợi nhuận,Tăng do trích lập từ lợi nhuận,Tăng do trích lập từ lợi nhuận,-,-,1.651.224.644,-,1.651.224.644,,,1651224644.0,,1651224644.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,(1.651.224.644),(1.651.224.644),,,,-1651224644.0,-1651224644.0
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,(1.651.224.644),(1.651.224.644),,,,-1651224644.0,-1651224644.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,,,,,
Giảm khác,Chia cổ tức > Giảm khác,Giảm khác,-,-,-,(28.132.698),(28.132.698),,,,-28132698.0,-28132698.0
Số dư cuối năm trước,Chia cổ tức > Số dư cuối năm trước,Số dư cuối năm trước,2.673.840.900.000,(208.000.000),4.851.321.687,61.330.724.488,2.739.814.946.175,2673840900000.0,-208000000.0,4851321687.0,61330724488.0,2739814946175.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số dư đầu năm nay,Năm nay > Số dư đầu năm nay,Số dư đầu năm nay,2.673.840.900.000,(208.000.000),4.851.321.687,61.330.724.488,2.739.814.946.175,2673840900000.0,-208000000.0,4851321687.0,61330724488.0,2739814946175.0
Tăng vốn trong năm này,Tăng vốn trong năm này,Tăng vốn trong năm này,-,-,-,-,-,,,,,
Lãi trong năm nay,Tăng vốn trong năm này > Lãi trong năm nay,Lãi trong năm nay,-,-,-,229.716.169.311,229.716.169.311,,,,229716169311.0,229716169311.0
Tăng do trích từ lợi nhuận,Tăng do trích từ lợi nhuận,Tăng do trích từ lợi nhuận,-,-,-,-,-,,,,,
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,,,,,
Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,-,-,-,-,-,,,,,
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,,,,,
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,-,,,,,
Số dư cuối năm này,Giảm khác > Số dư cuối năm này,Số dư cuối năm này,2.673.840.900.000,(208.000.000),4.851.321.687,291.046.893.799,2.969.531.115.486,2673840900000.0,-208000000.0,4851321687.0,291046893799.0,2969531115486.0
