row_label_raw,row_label_full,31/12/2021,Doanh thu khác,Dịch vụ trung chuyển,Bắt động sản đầu tư,"Vận hành, bảo dưỡng Hầm",Vận hành các trạm thu phí,Hoạt động xây lắp,Tổng cộng,numeric__Doanh thu khác,numeric__Dịch vụ trung chuyển,numeric__Bắt động sản đầu tư,"numeric__Vận hành, bảo dưỡng Hầm",numeric__Vận hành các trạm thu phí,numeric__Hoạt động xây lắp,numeric__Tổng cộng
Tải sản bộ phận,Tải sản bộ phận,Tải sản bộ phận,185.299.348.082,13.111.179.415,-,220.107.118.112,52.077.037.344,388.262.005.101,858.856.688.054,185299348082.0,13111179415.0,,220107118112.0,52077037344.0,388262005101.0,858856688054.0
Tải sản không phân bổ,Tải sản không phân bổ,Tải sản không phân bổ,,,,,,,2.954.806.308.374,,,,,,,2954806308374.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,185.299.348.082,13.111.179.415,-,220.107.118.112,52.077.037.344,388.262.005.101,3.813.662.996.428,185299348082.0,13111179415.0,,220107118112.0,52077037344.0,388262005101.0,3813662996428.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,4.464.620.734,-,-,62.216.045.126,-,219.428.097.295,286.108.763.155,4464620734.0,,,62216045126.0,,219428097295.0,286108763155.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,558.023.117.787,,,,,,,558023117787.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,4.464.620.734,-,-,62.216.045.126,-,219.428.097.295,844.131.880.942,4464620734.0,,,62216045126.0,,219428097295.0,844131880942.0
