row_label_raw,row_label_full,"Giá trị còn lại TSCĐ và chi phí thanh lý, nhượng bán TSCĐ",Năm nay > -,Năm trước > -,numeric__Năm nay > -,numeric__Năm trước > -
Các khoản bị phạt,Các khoản bị phạt,Các khoản bị phạt,53.192.182,268.076.549,53192182.0,268076549.0
Các khoản khác,Các khoản khác,Các khoản khác,134.590,65.574.462,134590.0,65574462.0
Cộng,Cộng,Cộng,53.326.772,333.651.011,53326772.0,333651011.0
