row_label_raw,row_label_full,Chỉ tiêu,Quyền sử dụng đất,Quyền phát hành,"Bản quyền, bằng sáng chế",Phần mềm vi tính,TSCĐ vô hình khác,Cộng,numeric__Quyền sử dụng đất,numeric__Quyền phát hành,"numeric__Bản quyền, bằng sáng chế",numeric__Phần mềm vi tính,numeric__TSCĐ vô hình khác,numeric__Cộng
I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,,,,,,
1. Số dư đầu năm,I. Nguyên giá > 1. Số dư đầu năm,1. Số dư đầu năm,618.292.634,-,-,45.000.000,-,663.292.634,618292634.0,,,45000000.0,,663292634.0
2. Số tăng trong năm,2. Số tăng trong năm,2. Số tăng trong năm,-,-,-,-,-,-,,,,,,
- Mua trong năm,- Mua trong năm,- Mua trong năm,-,-,-,-,-,-,,,,,,
- Tăng khác,- Tăng khác,- Tăng khác,-,-,-,-,-,-,,,,,,
3. Số giảm trong năm,3. Số giảm trong năm,3. Số giảm trong năm,-,-,-,-,-,-,,,,,,
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,-,-,-,-,,,,,,
- Giảm khác,- Giảm khác,- Giảm khác,-,-,-,-,-,-,,,,,,
4. Số dư cuối năm,- Giảm khác > 4. Số dư cuối năm,4. Số dư cuối năm,618.292.634,-,-,45.000.000,-,663.292.634,618292634.0,,,45000000.0,,663292634.0
II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,,,,,,
1. Số dư đầu năm,II. Giá trị hao mòn luỹ kế > 1. Số dư đầu năm,1. Số dư đầu năm,51.560.137,-,-,45.000.000,-,96.560.137,51560137.0,,,45000000.0,,96560137.0
2. Khấu hao trong năm,II. Giá trị hao mòn luỹ kế > 2. Khấu hao trong năm,2. Khấu hao trong năm,12.881.088,-,-,-,-,12.881.088,12881088.0,,,,,12881088.0
- Khấu hao trong năm,II. Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,12.881.088,-,-,-,-,12.881.088,12881088.0,,,,,12881088.0
- Tăng khác,- Tăng khác,- Tăng khác,-,-,-,-,-,-,,,,,,
3. Giảm trong năm,3. Giảm trong năm,3. Giảm trong năm,-,-,-,-,-,-,,,,,,
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,-,-,-,-,,,,,,
- Giảm khác,- Giảm khác,- Giảm khác,-,-,-,-,-,-,,,,,,
4. Số dư cuối năm,- Giảm khác > 4. Số dư cuối năm,4. Số dư cuối năm,64.441.225,-,-,45.000.000,-,109.441.225,64441225.0,,,45000000.0,,109441225.0
III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,,,,,,
1. Tại ngày đầu năm,III. Giá trị còn lại > 1. Tại ngày đầu năm,1. Tại ngày đầu năm,566.732.497,-,-,-,-,566.732.497,566732497.0,,,,,566732497.0
2. Tại ngày cuối năm,III. Giá trị còn lại > 2. Tại ngày cuối năm,2. Tại ngày cuối năm,553.851.409,-,-,-,-,553.851.409,553851409.0,,,,,553851409.0
