row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm 2021,Năm 2020,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm 2021,numeric__Năm 2020
- Công ty Cổ phần Đầu tư Hải thạch B.O.T,- Công ty Cổ phần Đầu tư Hải thạch B.O.T,- Công ty Cổ phần Đầu tư Hải thạch B.O.T,Cổ đông lớn,Giao dịch khác,,,,,,
- Công ty Cổ phần Đầu tư Hải thạch B.O.T,- Công ty Cổ phần Đầu tư Hải thạch B.O.T > - Công ty Cổ phần Đầu tư Hải thạch B.O.T,- Công ty Cổ phần Đầu tư Hải thạch B.O.T,Cổ đông lớn,Cho Công ty vay tiền,125.400.000.000,202.000.000.000,,,125400000000.0,202000000000.0
- Công ty Cổ phần Đầu tư Hải thạch B.O.T,- Công ty Cổ phần Đầu tư Hải thạch B.O.T > - Công ty Cổ phần Đầu tư Hải thạch B.O.T,- Công ty Cổ phần Đầu tư Hải thạch B.O.T,Cổ đông lớn,Tiền lãi vay,5.540.931.508,5.946.849.315,,,5540931508.0,5946849315.0
- Công ty Cổ phần Đầu tư Hải thạch B.O.T,- Công ty Cổ phần Đầu tư Hải thạch B.O.T > - Công ty Cổ phần Đầu tư Hải thạch B.O.T,- Công ty Cổ phần Đầu tư Hải thạch B.O.T,Cổ đông lớn,Nhận trả nợ góp vốn,-,203.750.000.000,,,,203750000000.0
- Công ty Cổ phần Đầu tư Hải thạch B.O.T,- Công ty Cổ phần Đầu tư Hải thạch B.O.T > - Công ty Cổ phần Đầu tư Hải thạch B.O.T,- Công ty Cổ phần Đầu tư Hải thạch B.O.T,Cổ đông lớn,Mua cổ phần của Công ty thông qua hoán đổi nợ,-,403.750.000.000,,,,403750000000.0
- Công ty Cổ phần Đầu tư Hải thạch B.O.T,- Công ty Cổ phần Đầu tư Hải thạch B.O.T > - Công ty Cổ phần Đầu tư Hải thạch B.O.T,- Công ty Cổ phần Đầu tư Hải thạch B.O.T,Cổ đông lớn,Cộng,130.940.931.508,815.446.849.315,,,130940931508.0,815446849315.0
- Công ty Cổ phần Đầu tư Hạ tầng Miền Bắc,- Công ty Cổ phần Đầu tư Hạ tầng Miền Bắc,- Công ty Cổ phần Đầu tư Hạ tầng Miền Bắc,Người có liên quan của Trường BKS Nguyễn Minh Giang đến 30 tháng 9 năm 2021,Chi phí tài chính,,,,,,
- Công ty Cổ phần Đầu tư Hạ tầng Miền Bắc,- Công ty Cổ phần Đầu tư Hạ tầng Miền Bắc > - Công ty Cổ phần Đầu tư Hạ tầng Miền Bắc,- Công ty Cổ phần Đầu tư Hạ tầng Miền Bắc,Người có liên quan của Trường BKS Nguyễn Minh Giang đến 30 tháng 9 năm 2021,Chi phí lãi vay,7.360.000.000,4.310.035.388,,,7360000000.0,4310035388.0
- Công ty Cổ phần Đầu tư Hạ tầng Miền Bắc,- Công ty Cổ phần Đầu tư Hạ tầng Miền Bắc > - Công ty Cổ phần Đầu tư Hạ tầng Miền Bắc,- Công ty Cổ phần Đầu tư Hạ tầng Miền Bắc,Người có liên quan của Trường BKS Nguyễn Minh Giang đến 30 tháng 9 năm 2021,Cộng,7.360.000.000,4.310.035.388,,,7360000000.0,4310035388.0
- Công ty Cổ phần Đầu tư Hạ tầng Miền Bắc,- Công ty Cổ phần Đầu tư Hạ tầng Miền Bắc,- Công ty Cổ phần Đầu tư Hạ tầng Miền Bắc,Người có liên quan của Trường BKS Nguyễn Minh Giang đến 30 tháng 9 năm 2021,Giao dịch khác,,,,,,
