row_label_raw,row_label_full,12. CHI PHÍ TRẢ TRƯỚC,12. CHI PHÍ TRẢ TRƯỚC_1,12. CHI PHÍ TRẢ TRƯỚC_2,numeric__12. CHI PHÍ TRẢ TRƯỚC_1,numeric__12. CHI PHÍ TRẢ TRƯỚC_2
,,,31/12/2021,Đơn vị tính: VND01/01/2021,,
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,429.988.826,1.190.722.923,429988826.0,1190722923.0
"Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng",168.140.464,936.823.258,168140464.0,936823258.0
"Chi phí sửa chữa, bảo hiểm xe","Chi phí sửa chữa, bảo hiểm xe","Chi phí sửa chữa, bảo hiểm xe",261.848.362,253.899.665,261848362.0,253899665.0
b) Dài hạn,b) Dài hạn,b) Dài hạn,540.045.137,939.615.551,540045137.0,939615551.0
"Chi phí sửa chữa, bảo hiểm xe","Chi phí sửa chữa, bảo hiểm xe","Chi phí sửa chữa, bảo hiểm xe",35.294.143,8.985.712,35294143.0,8985712.0
Các khoản khác,Các khoản khác,Các khoản khác,504.750.994,559.427.099,504750994.0,559427099.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,-,371.202.740,,371202740.0
Cộng,Cộng,Cộng,970.033.963,2.130.338.474,970033963.0,2130338474.0
