row_label_raw,row_label_full,Năm nay,Doanh thu khác,Dịch vụ trung chuyển,Kinh doanh bắt động sản,"Hoạt động duy tu bảo dưỡng, hầm",Vận hành các trạm thu phí,Hoạt động xây lắp,Tổng cộng,numeric__Doanh thu khác,numeric__Dịch vụ trung chuyển,numeric__Kinh doanh bắt động sản,"numeric__Hoạt động duy tu bảo dưỡng, hầm",numeric__Vận hành các trạm thu phí,numeric__Hoạt động xây lắp,numeric__Tổng cộng
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,24.945.447.258,8.702.727.273,-,253.706.355.450,59.704.736.459,634.211.145.006,981.270.411.446,24945447258.0,8702727273.0,,253706355450.0,59704736459.0,634211145006.0,981270411446.0
Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,24.945.447.258,8.702.727.273,-,253.706.355.450,59.704.736.459,634.211.145.006,981.270.411.446,24945447258.0,8702727273.0,,253706355450.0,59704736459.0,634211145006.0,981270411446.0
Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,11.666.552.193,119.434.872,-,130.614.100.432,12.663.645.231,110.624.487.898,265.688.220.626(24.751.225.674),11666552193.0,119434872.0,,130614100432.0,12663645231.0,110624487898.0,
Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,,,,,,,,,,,
Lợi nhuận từ hoạt động kinh doanh,Các chi phí không phân bổ theo bộ phận > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,,240.936.994.952,,,,,,,240936994952.0
Doanh thu hoạt động tài chính,Các chi phí không phân bổ theo bộ phận > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,43.785.550.733,,,,,,,43785550733.0
Chi phí tài chính,Các chi phí không phân bổ theo bộ phận > Chi phí tài chính,Chi phí tài chính,,,,,,,(25.944.130.547),,,,,,,-25944130547.0
Thu nhập khác,Các chi phí không phân bổ theo bộ phận > Thu nhập khác,Thu nhập khác,,,,,,,21.169.887.644,,,,,,,21169887644.0
Chi phí khác,Các chi phí không phân bổ theo bộ phận > Chi phí khác,Chi phí khác,,,,,,,(53.326.772),,,,,,,-53326772.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Các chi phí không phân bổ theo bộ phận > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,,(50.178.806.699),,,,,,,-50178806699.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Các chi phí không phân bổ theo bộ phận > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,,229.716.169.311,,,,,,,229716169311.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Các chi phí không phân bổ theo bộ phận > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,,,,8.476.213.317,,,,,,,8476213317.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Các chi phí không phân bổ theo bộ phận > Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,,,,,,,6.003.570.483,,,,,,,6003570483.0
- Tài sản và nợ phải trả bộ phận theo lĩnh vực kinh doanh,- Tài sản và nợ phải trả bộ phận theo lĩnh vực kinh doanh,- Tài sản và nợ phải trả bộ phận theo lĩnh vực kinh doanh,,,,,,,,,,,,,,
