row_label_raw,row_label_full,col_0,31/12/2021 > Trích lập dự phòng,31/12/2021 > Giá trị,01/01/2021 > Trích lập dự phòng,01/01/2021 > Giá trị,numeric__31/12/2021 > Trích lập dự phòng,numeric__31/12/2021 > Giá trị,numeric__01/01/2021 > Trích lập dự phòng,numeric__01/01/2021 > Giá trị
a)Ngắn hạn:,a)Ngắn hạn:,a)Ngắn hạn:,11.035.892.482,627.923.680.598,11.035.892.482,288.399.822.070,11035892482.0,627923680598.0,11035892482.0,288399822070.0
Bên khác,Bên khác,Bên khác,11.035.892.482,231.336.580.340,11.035.892.482,18.012.229.520,11035892482.0,231336580340.0,11035892482.0,18012229520.0
Công ty Cổ phần Quản lý và Sửa chữa đường bộ Đắc Lắc,Công ty Cổ phần Quản lý và Sửa chữa đường bộ Đắc Lắc,Công ty Cổ phần Quản lý và Sửa chữa đường bộ Đắc Lắc,3.399.652.533,3.399.652.533,3.399.652.533,3.399.652.533,3399652533.0,3399652533.0,3399652533.0,3399652533.0
Công ty Cổ phần Xây dựng Đẻo cả (Tên cũ: Công ty CP ĐTXD Hải Thạch),Công ty Cổ phần Xây dựng Đẻo cả (Tên cũ: Công ty CP ĐTXD Hải Thạch),Công ty Cổ phần Xây dựng Đẻo cả (Tên cũ: Công ty CP ĐTXD Hải Thạch),-,177.848.367.430,-,-,,177848367430.0,,
Công ty Cổ phần xây dựng Cầu đường 19,Công ty Cổ phần xây dựng Cầu đường 19,Công ty Cổ phần xây dựng Cầu đường 19,5.159.490.529,5.159.490.529,5.159.490.529,5.159.490.529,5159490529.0,5159490529.0,5159490529.0,5159490529.0
Công ty Cổ phần Sông Đà 10,Công ty Cổ phần Sông Đà 10,Công ty Cổ phần Sông Đà 10,-,5.082.418.376,-,5.082.418.376,,5082418376.0,,5082418376.0
Công ty XD c.trình GT 502 - Bê tông tươi,Công ty XD c.trình GT 502 - Bê tông tươi,Công ty XD c.trình GT 502 - Bê tông tươi,139.639.000,139.639.000,139.639.000,139.639.000,139639000.0,139639000.0,139639000.0,139639000.0
Công ty CTGT 503 Đà Nẵng,Công ty CTGT 503 Đà Nẵng,Công ty CTGT 503 Đà Nẵng,215.066.430,215.066.430,215.066.430,215.066.430,215066430.0,215066430.0,215066430.0,215066430.0
Công ty TNHH An Bình,Công ty TNHH An Bình,Công ty TNHH An Bình,193.457.858,193.457.858,193.457.858,193.457.858,193457858.0,193457858.0,193457858.0,193457858.0
Công ty Cổ phần XD GT Quảng Nam - HLM,Công ty Cổ phần XD GT Quảng Nam - HLM,Công ty Cổ phần XD GT Quảng Nam - HLM,145.872.585,145.872.585,145.872.585,145.872.585,145872585.0,145872585.0,145872585.0,145872585.0
