row_label_raw,row_label_full,Năm trước,Đà Nẵng,Huế,"Phú yên, Khánh Hòa","Bắc Giang, Lạng Sơn",Tiền giang,Khác,Tổng cộng,numeric__Đà Nẵng,numeric__Huế,"numeric__Phú yên, Khánh Hòa","numeric__Bắc Giang, Lạng Sơn",numeric__Tiền giang,numeric__Khác,numeric__Tổng cộng
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,191.218.295.102,85.890.944.369,195.475.837.399,53.146.343.397,-,19.031.853.680,544.763.273.947,191218295102.0,85890944369.0,195475837399.0,53146343397.0,,19031853680.0,544763273947.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,,,,,,,3.548.372.724.724,,,,,,,3548372724724.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài,,,,,,,4.143.673.094,,,,,,,4143673094.0
Năm nay,Năm nay,Năm nay,Đà Nẵng,Huế,"Phú yên, Khánh Hòa","Bắc Giang, Lạng Sơn",Tiền giang,Khác,Tổng cộng,,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm nay > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,257.356.500.593,59.254.669.092,234.070.477.900,47.842.900.908,382.745.862.953,-,981.270.411.446,257356500593.0,59254669092.0,234070477900.0,47842900908.0,382745862953.0,,981270411446.0
Tài sản bộ phận,Năm nay > Tài sản bộ phận,Tài sản bộ phận,,,,,,,3.813.662.996.428,,,,,,,3813662996428.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Năm nay > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,,,,8.476.213.317,,,,,,,8476213317.0
