row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2024Triệu đồng,%,Ngày 31 tháng 12năm 2023Triệu đồng,%_1,numeric__Ngày 31 tháng 12năm 2024Triệu đồng,numeric__%,numeric__Ngày 31 tháng 12năm 2023Triệu đồng,numeric__%_1
"Nông nghiệp, lâm nghiệp vàthủy sản","Nông nghiệp, lâm nghiệp vàthủy sản","Nông nghiệp, lâm nghiệp vàthủy sản",2.054.559,"0,30",3.041.136,"0,54",2054559.0,0.3,3041136.0,0.54
Khai khoáng,Khai khoáng,Khai khoáng,1.519.641,"0,22",1.502.568,"0,27",1519641.0,0.22,1502568.0,0.27
"Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo",30.747.223,"4,44",26.526.255,"4,68",30747223.0,4.44,26526255.0,4.68
"Sản xuất và phân phối điện, khídốt, nước nóng, hơi nước và điềuhoà không khí","Sản xuất và phân phối điện, khídốt, nước nóng, hơi nước và điềuhoà không khí","Sản xuất và phân phối điện, khídốt, nước nóng, hơi nước và điềuhoà không khí",861.118,"0,12",1.408.650,"0,25",861118.0,0.12,1408650.0,0.25
"Cung cấp nước; hoạt động quảnlý và xử lý rác thải, nước thải","Cung cấp nước; hoạt động quảnlý và xử lý rác thải, nước thải","Cung cấp nước; hoạt động quảnlý và xử lý rác thải, nước thải",146.670,"0,02",692.813,"0,12",146670.0,0.02,692813.0,0.12
Xây dựng,Xây dựng,Xây dựng,38.725.127,"5,59",28.271.295,"4,99",38725127.0,5.59,28271295.0,4.99
"Bán buôn và bán lẻ; sửa chữa ôtô, mô tô, xe máy và xe có độngcơ khác","Bán buôn và bán lẻ; sửa chữa ôtô, mô tô, xe máy và xe có độngcơ khác","Bán buôn và bán lẻ; sửa chữa ôtô, mô tô, xe máy và xe có độngcơ khác",70.911.252,"10,23",53.438.420,"9,44",70911252.0,10.23,53438420.0,9.44
Vận tải kho bãi,Vận tải kho bãi,Vận tải kho bãi,12.164.350,"1,76",9.817.781,"1,73",12164350.0,1.76,9817781.0,1.73
Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,18.952.714,"2,74",13.296.812,"2,35",18952714.0,2.74,13296812.0,2.35
Thông tin và truyền thông,Thông tin và truyền thông,Thông tin và truyền thông,1.042.484,"0,15",911.727,"0,16",1042484.0,0.15,911727.0,0.16
"Hoạt động tài chính, ngân hàngvà bảo hiểm","Hoạt động tài chính, ngân hàngvà bảo hiểm","Hoạt động tài chính, ngân hàngvà bảo hiểm",17.985.239,"2,60",21.236.503,"3,75",17985239.0,2.6,21236503.0,3.75
Hoạt động kinh doanh bất độngsản,Hoạt động kinh doanh bất độngsản,Hoạt động kinh doanh bất độngsản,186.736.821,"26,95",114.894.070,"20,29",186736821.0,26.95,114894070.0,20.29
"Hoạt động chuyên môn, khoa họcvà công nghệ","Hoạt động chuyên môn, khoa họcvà công nghệ","Hoạt động chuyên môn, khoa họcvà công nghệ",3.320.412,"0,48",1.634.569,"0,29",3320412.0,0.48,1634569.0,0.29
Hoạt động hành chính và dịch vụhỗ trợ,Hoạt động hành chính và dịch vụhỗ trợ,Hoạt động hành chính và dịch vụhỗ trợ,2.937.827,"0,42",1.495.928,"0,26",2937827.0,0.42,1495928.0,0.26
"Hoạt động của Đăng Cộng sản,tổ chức chính trị - xã hội, quản lýNhà nước, an ninh quốc phòng;bảo đảm xã hội bắt buộc","Hoạt động của Đăng Cộng sản,tổ chức chính trị - xã hội, quản lýNhà nước, an ninh quốc phòng;bảo đảm xã hội bắt buộc","Hoạt động của Đăng Cộng sản,tổ chức chính trị - xã hội, quản lýNhà nước, an ninh quốc phòng;bảo đảm xã hội bắt buộc",10.696,"0,00",4.870,"0,00",10696.0,0.0,4870.0,0.0
Giáo dục và đào tạo,Giáo dục và đào tạo,Giáo dục và đào tạo,1.072.488,"0,15",2.645.282,"0,47",1072488.0,0.15,2645282.0,0.47
Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,591.474,"0,09",1.219.198,"0,22",591474.0,0.09,1219198.0,0.22
"Nghệ thuật, vui chơi và giải trí","Nghệ thuật, vui chơi và giải trí","Nghệ thuật, vui chơi và giải trí",3.546.017,"0,51",3.891.018,"0,69",3546017.0,0.51,3891018.0,0.69
Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,2.274.013,"0,33",2.012.512,"0,36",2274013.0,0.33,2012512.0,0.36
"Hoạt động làm thuê các công việctrong hộ gia đình, sản xuất sảnphẩm vật chất và dịch vụ tự tiêudùng của hộ gia đình","Hoạt động làm thuê các công việctrong hộ gia đình, sản xuất sảnphẩm vật chất và dịch vụ tự tiêudùng của hộ gia đình","Hoạt động làm thuê các công việctrong hộ gia đình, sản xuất sảnphẩm vật chất và dịch vụ tự tiêudùng của hộ gia đình",193.909.402,"27,98",185.376.652,"32,72",193909402.0,27.98,185376652.0,32.72
"Cho vay cá nhân đề mua nhà ở,nhận quyền sử dụng đất để xâynhà ở","Cho vay cá nhân đề mua nhà ở,nhận quyền sử dụng đất để xâynhà ở","Cho vay cá nhân đề mua nhà ở,nhận quyền sử dụng đất để xâynhà ở",93.853.675,"13,55",85.785.626,"15,15",93853675.0,13.55,85785626.0,15.15
Cho vay giao dịch ký quỹ và ứngtrước cho khách hàng,Cho vay giao dịch ký quỹ và ứngtrước cho khách hàng,Cho vay giao dịch ký quỹ và ứngtrước cho khách hàng,9.512.536,"1,37",7.167.605,"1,27",9512536.0,1.37,7167605.0,1.27
,,,692.875.738,100,566.271.290,100,692875738.0,100.0,566271290.0,100.0
