row_label_raw,row_label_full,col_0,Năm 2024Triệu đồng,Năm 2023Triệu đồng,numeric__Năm 2024Triệu đồng,numeric__Năm 2023Triệu đồng
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,13.201.660,12.307.787,13201660.0,12307787.0
Thu từ dịch vụ thanh toán và ngân quỹ,Thu từ dịch vụ thanh toán và ngân quỹ,Thu từ dịch vụ thanh toán và ngân quỹ,4.406.127,5.407.935,4406127.0,5407935.0
Thu từ dịch vụ tư vấn,Thu từ dịch vụ tư vấn,Thu từ dịch vụ tư vấn,139.026,93.493,139026.0,93493.0
Thu từ kinh doanh và dịch vụ bảo hiểm,Thu từ kinh doanh và dịch vụ bảo hiểm,Thu từ kinh doanh và dịch vụ bảo hiểm,4.150.911,2.937.498,4150911.0,2937498.0
Thu phí liên quan đến các loại thể,Thu phí liên quan đến các loại thể,Thu phí liên quan đến các loại thể,2.446.882,2.225.875,2446882.0,2225875.0
Thu khác,Thu khác,Thu khác,2.058.714,1.642.986,2058714.0,1642986.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,(7.075.337),(5.095.905),-7075337.0,-5095905.0
Chi về dịch vụ thanh toán và ngân quỹ,Chi về dịch vụ thanh toán và ngân quỹ,Chi về dịch vụ thanh toán và ngân quỹ,(2.135.183),(1.735.699),-2135183.0,-1735699.0
Chi về dịch vụ tư vấn,Chi về dịch vụ tư vấn,Chi về dịch vụ tư vấn,(73),(4.164),-73.0,-4164.0
Chi về dịch vụ bảo hiểm,Chi về dịch vụ bảo hiểm,Chi về dịch vụ bảo hiểm,(1.035.286),(279.617),-1035286.0,-279617.0
Hoa hồng môi giới,Hoa hồng môi giới,Hoa hồng môi giới,(447.900),(253.324),-447900.0,-253324.0
Chi cho hoạt động thể,Chi cho hoạt động thể,Chi cho hoạt động thể,(1.259.668),(987.584),-1259668.0,-987584.0
Chi khác,Chi khác,Chi khác,(2.197.227),(1.835.517),-2197227.0,-1835517.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,6.126.323,7.211.882,6126323.0,7211882.0
