row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12năm 2024Triệu đồng,Ngày 31 tháng 12năm 2023Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12năm 2024Triệu đồng,numeric__Ngày 31 tháng 12năm 2023Triệu đồng
Nghĩa vụ tiềm ăn và các cam kết đưa ra,Nghĩa vụ tiềm ăn và các cam kết đưa ra,Nghĩa vụ tiềm ăn và các cam kết đưa ra,40,690.753.389,641.955.933,40.0,690753389.0,641955933.0
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,,848.721,1.754.978,,848721.0,1754978.0
Cảm kết giao dịch hối đoái,Cảm kết giao dịch hối đoái,Cảm kết giao dịch hối đoái,,300.000.752,296.858.798,,300000752.0,296858798.0
- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,,2.972.620,264.965,,2972620.0,264965.0
- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,,1.955.905,992.663,,1955905.0,992663.0
- Cam kết nhận - giao dịch hoán đổi tiền tệ,- Cam kết nhận - giao dịch hoán đổi tiền tệ,- Cam kết nhận - giao dịch hoán đổi tiền tệ,,147.811.792,147.839.284,,147811792.0,147839284.0
- Cam kết trả - giao dịch hoán đổi tiền tệ,- Cam kết trả - giao dịch hoán đổi tiền tệ,- Cam kết trả - giao dịch hoán đổi tiền tệ,,147.260.435,147.761.886,,147260435.0,147761886.0
Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,,16.461.049,38.680.116,,16461049.0,38680116.0
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,,26.008.227,19.546.205,,26008227.0,19546205.0
Các cam kết khác,Các cam kết khác,Các cam kết khác,,347.434.640,285.115.836,,347434640.0,285115836.0
Trong đó: Hạn mức tín dụng chưa sử dụng có thể hủy ngang,Trong đó: Hạn mức tín dụng chưa sử dụng có thể hủy ngang,Trong đó: Hạn mức tín dụng chưa sử dụng có thể hủy ngang,,229.511.446,205.810.854,,229511446.0,205810854.0
Các khoản mục ngoại bảng khác,Các khoản mục ngoại bảng khác,Các khoản mục ngoại bảng khác,41,212.782.373,150.407.788,41.0,212782373.0,150407788.0
Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,41.1,7.668.183,8.211.807,411.0,7668183.0,8211807.0
Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,41.2,82.187.400,51.100.127,412.0,82187400.0,51100127.0
Tài sản và chứng từ khác,Tài sản và chứng từ khác,Tài sản và chứng từ khác,41.3,122.926.790,91.095.854,413.0,122926790.0,91095854.0
,,,,903.535.762,792.363.721,,903535762.0,792363721.0
