row_label_raw,row_label_full,col_0,Tỷ lệ dự trữ bắt buộc (%),Tỷ lệ dự trữ bắt buộc (%)_1,numeric__Tỷ lệ dự trữ bắt buộc (%),numeric__Tỷ lệ dự trữ bắt buộc (%)_1
,,,Ngày 31 tháng 12năm 2024,Ngày 31 tháng 12năm 2023,,
Số dư bình quân tháng trước của:,Số dư bình quân tháng trước của:,Số dư bình quân tháng trước của:,,,,
Tiền gửi bằng ngoại tệ của TCTD nước ngoài,Số dư bình quân tháng trước của: > Tiền gửi bằng ngoại tệ của TCTD nước ngoài,Tiền gửi bằng ngoại tệ của TCTD nước ngoài,"1,00","1,00",1.0,1.0
Tiền gửi khác bằng ngoại tệ kỳ hạn dưới 12 tháng,Số dư bình quân tháng trước của: > Tiền gửi khác bằng ngoại tệ kỳ hạn dưới 12 tháng,Tiền gửi khác bằng ngoại tệ kỳ hạn dưới 12 tháng,"8,00","8,00",8.0,8.0
Tiền gửi khác bằng ngoại tệ kỳ hạn từ 12 tháng trở lên,Số dư bình quân tháng trước của: > Tiền gửi khác bằng ngoại tệ kỳ hạn từ 12 tháng trở lên,Tiền gửi khác bằng ngoại tệ kỳ hạn từ 12 tháng trở lên,"6,00","6,00",6.0,6.0
Tiền gửi bằng VND kỳ hạn dưới 12 tháng,Số dư bình quân tháng trước của: > Tiền gửi bằng VND kỳ hạn dưới 12 tháng,Tiền gửi bằng VND kỳ hạn dưới 12 tháng,"3,00","3,00",3.0,3.0
Tiền gửi bằng VND kỳ hạn từ 12 tháng trở lên,Số dư bình quân tháng trước của: > Tiền gửi bằng VND kỳ hạn từ 12 tháng trở lên,Tiền gửi bằng VND kỳ hạn từ 12 tháng trở lên,"1,00","1,00",1.0,1.0
