row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2024 Triệu đồng,Ngày 31 tháng 12 năm 2023 Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2024 Triệu đồng,numeric__Ngày 31 tháng 12 năm 2023 Triệu đồng
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,
Các khoản nợ Chính phủ và NHNN,NỘ PHẢI TRẢ > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,18,5.713,4.118.311,18.0,5713.0,4118311.0
"Tiền gửi và vay Chính phủ, NHNN","NỘ PHẢI TRẢ > Tiền gửi và vay Chính phủ, NHNN","Tiền gửi và vay Chính phủ, NHNN",,5.713,4.118.311,,5713.0,4118311.0
"Tiền gửi và vay các tổ chức tài chính (“TCTC”), TCTD khác","NỘ PHẢI TRẢ > Tiền gửi và vay các tổ chức tài chính (“TCTC”), TCTD khác","Tiền gửi và vay các tổ chức tài chính (“TCTC”), TCTD khác",,201.756.421,156.356.651,,201756421.0,156356651.0
"Tiền gửi của các TCTC, TCTD khác","NỘ PHẢI TRẢ > Tiền gửi của các TCTC, TCTD khác","Tiền gửi của các TCTC, TCTD khác",19.1,111.863.209,83.234.756,191.0,111863209.0,83234756.0
"Vay các TCTC, TCTD khác","NỘ PHẢI TRẢ > Vay các TCTC, TCTD khác","Vay các TCTC, TCTD khác",19.2,89.893.212,73.121.895,192.0,89893212.0,73121895.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,20,485.666.548,442.368.381,20.0,485666548.0,442368381.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,NỘ PHẢI TRẢ > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,9,28.057,392,9.0,28057.0,392.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","NỘ PHẢI TRẢ > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",21,10.894,22.045,21.0,10894.0,22045.0
Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,22,66.975.704,47.787.312,22.0,66975704.0,47787312.0
Các khoản nợ khác,NỘ PHẢI TRẢ > Các khoản nợ khác,Các khoản nợ khác,,22.129.038,27.118.303,,22129038.0,27118303.0
"Các khoản lãi, phí phải trả","NỘ PHẢI TRẢ > Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",23.1,10.415.008,13.812.285,231.0,10415008.0,13812285.0
Thuế thu nhập doanh nghiệp hoãn lại phải trả,NỘ PHẢI TRẢ > Thuế thu nhập doanh nghiệp hoãn lại phải trả,Thuế thu nhập doanh nghiệp hoãn lại phải trả,24.2,26.517,65.310,242.0,26517.0,65310.0
Các khoản phải trả và công nợ khác,NỘ PHẢI TRẢ > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,23.2,11.687.513,13.240.708,232.0,11687513.0,13240708.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,776.572.375,677.771.395,,776572375.0,677771395.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,,,
Vốn,VỐN CHỦ SỞ HỮU > Vốn,Vốn,,103.331.782,103.331.782,,103331782.0,103331782.0
- Vốn điều lệ,VỐN CHỦ SỞ HỮU > - Vốn điều lệ,- Vốn điều lệ,,79.339.236,79.339.236,,79339236.0,79339236.0
- Thặng dư vốn cổ phần,VỐN CHỦ SỞ HỮU > - Thặng dư vốn cổ phần,- Thặng dư vốn cổ phần,,23.992.546,23.992.546,,23992546.0,23992546.0
Các quỹ của TCTD,VỐN CHỦ SỞ HỮU > Các quỹ của TCTD,Các quỹ của TCTD,,14.565.614,12.233.282,,14565614.0,12233282.0
Lợi nhuận chưa phân phối,VỐN CHỦ SỞ HỮU > Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,,24.007.579,19.065.969,,24007579.0,19065969.0
Lợi ích của cổ đông không kiểm soát,VỐN CHỦ SỞ HỮU > Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,,5.370.287,5.164.494,,5370287.0,5164494.0
TỔNG VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG VỐN CHỦ SỞ HỮU,TỔNG VỐN CHỦ SỞ HỮU,25,147.275.262,139.795.527,25.0,147275262.0,139795527.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,923.847.637,817.566.922,,923847637.0,817566922.0
