row_label_raw,row_label_full,Bên liên quan,Diễn giải,Phải thu/(Phải trả),Phải thu/(Phải trả)_1,numeric__Diễn giải,numeric__Phải thu/(Phải trả),numeric__Phải thu/(Phải trả)_1
Bên liên quan,Bên liên quan,Bên liên quan,Diễn giải,Ngày 31 tháng12 năm 2024Triệu đồng,Ngày 31 tháng12 năm 2023Triệu đồng,,,
Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Bên liên quan > Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Dự chi lãi vay,(93.761),(53.140),,-93761.0,-53140.0
Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Bên liên quan > Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Dự chi từ hợp đồng phải sinh,(234.296),(241.710),,-234296.0,-241710.0
Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Bên liên quan > Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Dự thu từ hợp đồng phải sinh,216.238,368.650,,216238.0,368650.0
Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Bên liên quan > Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Phí trả trước chờ phân bổ,169.843,148.867,,169843.0,148867.0
Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Bên liên quan > Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Tiền gửi của SMBC,(408),(597),,-408.0,-597.0
Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Bên liên quan > Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Tiền gửi tại SMBC,173.687,175.091,,173687.0,175091.0
Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Bên liên quan > Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Vay từ SMBC,(7.405.187),(11.894.724),,-7405187.0,-11894724.0
CTCP Căng Sài Gòn -Công ty do Ngân hàngđầu tư góp vốn dài hạncó từ 11% quyền biểu quyết trở xuống,Bên liên quan > CTCP Căng Sài Gòn -Công ty do Ngân hàngđầu tư góp vốn dài hạncó từ 11% quyền biểu quyết trở xuống,CTCP Căng Sài Gòn -Công ty do Ngân hàngđầu tư góp vốn dài hạncó từ 11% quyền biểu quyết trở xuống,Nhận tiền gửi không kỳ hạn,(1.225),(449),,-1225.0,-449.0
CTCP Căng Sài Gòn -Công ty do Ngân hàngđầu tư góp vốn dài hạncó từ 11% quyền biểu quyết trở xuống,Bên liên quan > CTCP Căng Sài Gòn -Công ty do Ngân hàngđầu tư góp vốn dài hạncó từ 11% quyền biểu quyết trở xuống,CTCP Căng Sài Gòn -Công ty do Ngân hàngđầu tư góp vốn dài hạncó từ 11% quyền biểu quyết trở xuống,Nhận tiền gửi có kỳ hạn,(16.000),(16.000),,-16000.0,-16000.0
CTCP Căng Sài Gòn -Công ty do Ngân hàngđầu tư góp vốn dài hạncó từ 11% quyền biểu quyết trở xuống,Bên liên quan > CTCP Căng Sài Gòn -Công ty do Ngân hàngđầu tư góp vốn dài hạncó từ 11% quyền biểu quyết trở xuống,CTCP Căng Sài Gòn -Công ty do Ngân hàngđầu tư góp vốn dài hạncó từ 11% quyền biểu quyết trở xuống,Dự chi lãi tiền gửi,(276),(379),,-276.0,-379.0
CTCP đầu tư trung tâm thương mại Vinh (Vicentra) (**),Bên liên quan > CTCP đầu tư trung tâm thương mại Vinh (Vicentra) (**),CTCP đầu tư trung tâm thương mại Vinh (Vicentra) (**),Nhận tiền gửi không kỳ hạn,(741),(147),,-741.0,-147.0
Công ty TNHH MTV EFFEXI (**),Bên liên quan > Công ty TNHH MTV EFFEXI (**),Công ty TNHH MTV EFFEXI (**),Nhận tiền gửi không kỳ hạn,(227),-,,-227.0,
Công ty TNHH MTV Rostra (**),Bên liên quan > Công ty TNHH MTV Rostra (**),Công ty TNHH MTV Rostra (**),Nhận tiền gửi không kỳ hạn,(6.248),-,,-6248.0,
CTCP Diera Corp (**),Bên liên quan > CTCP Diera Corp (**),CTCP Diera Corp (**),Nhận tiền gửi không kỳ hạn,(2.623),(62),,-2623.0,-62.0
CT TNHH MTV Xưởng Phim Màu Hồng (**),Bên liên quan > CT TNHH MTV Xưởng Phim Màu Hồng (**),CT TNHH MTV Xưởng Phim Màu Hồng (**),Nhận tiền gửi không kỳ hạn,(101),(1.485),,-101.0,-1485.0
