row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu đồng,Phần mềm máyvi tínhTriệu đồng,Tổng cộngTriệu đồng,numeric__Quyền sử dụng đấtTriệu đồng,numeric__Phần mềm máyvi tínhTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,65.127,1.843.421,1.908.548,65127.0,1843421.0,1908548.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,28.685,28.685,,28685.0,28685.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,-,148.958,148.958,,148958.0,148958.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,65.127,2.021.064,2.086.191,65127.0,2021064.0,2086191.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,868,1.281.978,1.282.846,868.0,1281978.0,1282846.0
Hao mòn trong năm,Giá trị hao mòn luỹ kế > Hao mòn trong năm,Hao mòn trong năm,-,216.528,216.528,,216528.0,216528.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,868,1.498.506,1.499.374,868.0,1498506.0,1499374.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,64.259,561.443,625.702,64259.0,561443.0,625702.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,64.259,522.558,586.817,64259.0,522558.0,586817.0
