row_label_raw,row_label_full,col_0,Năm 2024Triệu đồng,Năm 2023Triệu đồng,numeric__Năm 2024Triệu đồng,numeric__Năm 2023Triệu đồng
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,9.559.809,7.774.012,9559809.0,7774012.0
Thu từ các công cụ tài chính phải sinh khác,Thu từ các công cụ tài chính phải sinh khác,Thu từ các công cụ tài chính phải sinh khác,3.583.521,3.641.446,3583521.0,3641446.0
Thu từ nợ đã xử lý rủi ro,Thu từ nợ đã xử lý rủi ro,Thu từ nợ đã xử lý rủi ro,5.574.886,2.495.093,5574886.0,2495093.0
Thu nhập từ thanh lý tài sản cố định,Thu nhập từ thanh lý tài sản cố định,Thu nhập từ thanh lý tài sản cố định,1.715,903,1715.0,903.0
Thu nhập từ thanh lý tài sản khác,Thu nhập từ thanh lý tài sản khác,Thu nhập từ thanh lý tài sản khác,34.283,15.586,34283.0,15586.0
Thu từ hoạt động mua bán nợ,Thu từ hoạt động mua bán nợ,Thu từ hoạt động mua bán nợ,188.732,1.517.577,188732.0,1517577.0
Thu từ phạt vi phạm hợp đồng,Thu từ phạt vi phạm hợp đồng,Thu từ phạt vi phạm hợp đồng,12.317,1.629,12317.0,1629.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,164.355,101.778,164355.0,101778.0
Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,(4.182.147),(3.248.461),-4182147.0,-3248461.0
Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,(3.835.275),(2.864.611),-3835275.0,-2864611.0
Chi về thanh lý tài sản cố định,Chi về thanh lý tài sản cố định,Chi về thanh lý tài sản cố định,(259),(257),-259.0,-257.0
Chi từ thanh lý tài sản khác,Chi từ thanh lý tài sản khác,Chi từ thanh lý tài sản khác,(27.576),(9.704),-27576.0,-9704.0
Chi khác,Chi khác,Chi khác,(319.037),(373.889),-319037.0,-373889.0
,,,5.377.662,4.525.551,5377662.0,4525551.0
