row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2024Triệu đồng,Ngày 31 tháng 12 năm 2023Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2024Triệu đồng,numeric__Ngày 31 tháng 12 năm 2023Triệu đồng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
"Tiền mặt, vàng bạc, đá quý","TÀI SẢN > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5,2.148.289,2.284.990,5.0,2148289.0,2284990.0
"Tiền gửi tại Ngân hàng Nhà nước Việt Nam (""NHNN"")","TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước Việt Nam (""NHNN"")","Tiền gửi tại Ngân hàng Nhà nước Việt Nam (""NHNN"")",6,14.327.215,8.422.511,6.0,14327215.0,8422511.0
"Tiền gửi và cấp tín dụng cho các tổ chức tín dụng (""TCTD"") khác","TÀI SẢN > Tiền gửi và cấp tín dụng cho các tổ chức tín dụng (""TCTD"") khác","Tiền gửi và cấp tín dụng cho các tổ chức tín dụng (""TCTD"") khác",,134.643.662,'94.093.778,,134643662.0,
Tiền gửi tại các TCTD khác,TÀI SẢN > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,7.1,126.527.280,81.299.073,71.0,126527280.0,81299073.0
Cấp tín dụng cho các TCTD khác,TÀI SẢN > Cấp tín dụng cho các TCTD khác,Cấp tín dụng cho các TCTD khác,7.2,8.116.382,12.794.705,72.0,8116382.0,12794705.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,8,13.110.971,12.325.809,8.0,13110971.0,12325809.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,,13.180.721,12.406.274,,13180721.0,12406274.0
Dự phòng rủi ro chứng khoán kinh doanh,TÀI SẢN > Dự phòng rủi ro chứng khoán kinh doanh,Dự phòng rủi ro chứng khoán kinh doanh,,(69.750),(80.465),,-69750.0,-80465.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,,676.545.598,551.472.066,,676545598.0,551472066.0
