row_label_raw,row_label_full,col_0,Quá hạnTriệu đồng,Khôngchịu lãiTriệu đồng,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Thời hạn định lại lãi suất_6,numeric__Quá hạnTriệu đồng,numeric__Khôngchịu lãiTriệu đồng,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Thời hạn định lại lãi suất_6
,,,Quá hạnTriệu đồng,Khôngchịu lãiTriệu đồng,Đến 1 thángTriệu đồng,Từ 1 – 3thángTriệu đồng,Từ 3 – 6thángTriệu đồng,Từ 6 – 12thángTriệu đồng,Từ 1 – 5nămTriệu đồng,Trên 5 nămTriệu đồng,Tổng cộngTriệu đồng,,,,,,,,,
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tải sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,2.148.289,-,-,-,-,-,-,2.148.289,,2148289.0,,,,,,,2148289.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,13.733.896,593.319,-,-,-,-,-,14.327.215,,13733896.0,593319.0,,,,,,14327215.0
Tiền gửi và cấp tin dụng cho các TCTD khác – gộp,Tải sản > Tiền gửi và cấp tin dụng cho các TCTD khác – gộp,Tiền gửi và cấp tin dụng cho các TCTD khác – gộp,-,-,129.374.659,3.102.331,1.965.854,200.818,-,-,134.643.662,,,129374659.0,3102331.0,1965854.0,200818.0,,,134643662.0
Chứng khoán kinh doanh – gộp,Tải sản > Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,-,1.640.615,10.900.282,639.824,-,-,-,-,13.180.721,,1640615.0,10900282.0,639824.0,,,,,13180721.0
Cho vay khách hàng và mua nợ - gộp,Tải sản > Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,26.750.477,-,319.464.033,160.174.045,72.217.916,86.620.436,28.086.800,367.900,693.681.607,26750477.0,,319464033.0,160174045.0,72217916.0,86620436.0,28086800.0,367900.0,693681607.0
Chứng khoán đầu tư – gộp,Tải sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,720.000,1.008.284,7.126.579,6.115.449,2.558.026,931.919,8.449.072,25.941.026,52.850.355,720000.0,1008284.0,7126579.0,6115449.0,2558026.0,931919.0,8449072.0,25941026.0,52850355.0
Gộp vốn đầu tư dài hạn – gộp,Tải sản > Gộp vốn đầu tư dài hạn – gộp,Gộp vốn đầu tư dài hạn – gộp,-,189.210,-,-,-,-,-,-,189.210,,189210.0,,,,,,,189210.0
Tải sản cố định,Tải sản > Tải sản cố định,Tải sản cố định,-,2.023.761,-,-,-,-,-,138,2.023.899,,2023761.0,,,,,,138.0,2023899.0
Tải sản Có khác – gộp,Tải sản > Tải sản Có khác – gộp,Tải sản Có khác – gộp,344.742,26.920.927,21.999,167.979,8.397,74.916,-,-,27.538.960,344742.0,26920927.0,21999.0,167979.0,8397.0,74916.0,,,27538960.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,27.815.219,47.664.982,467.480.871,170.199.628,76.750.193,87.828.089,36.535.872,26.309.064,940.583.918,27815219.0,47664982.0,467480871.0,170199628.0,76750193.0,87828089.0,36535872.0,26309064.0,940583918.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,5.713,-,-,-,-,-,5.713,,,5713.0,,,,,,5713.0
"Tiền gửi và vay các TCTC, TCTD khác","Nợ phải trả > Tiền gửi và vay các TCTC, TCTD khác","Tiền gửi và vay các TCTC, TCTD khác",-,-,127.424.754,27.290.448,34.537.552,12.503.667,-,-,201.756.421,,,127424754.0,27290448.0,34537552.0,12503667.0,,,201756421.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,158.120.712,123.077.340,126.492.432,68.302.761,9.672.471,832,485.666.548,,,158120712.0,123077340.0,126492432.0,68302761.0,9672471.0,832.0,485666548.0
Công cu tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Công cu tài chính phải sinh và các khoản nợ tài chính khác,Công cu tài chính phải sinh và các khoản nợ tài chính khác,-,-,11.306.700,295.652,(300.447),(3.186.288),(8.087.560),-,28.057,,,11306700.0,295652.0,-300447.0,-3186288.0,-8087560.0,,28057.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,10.894,-,-,-,-,10.894,,,,10894.0,,,,,10894.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,4.537.938,8.321.767,21.442.097,27.628.796,5.045.106,-,66.975.704,,,4537938.0,8321767.0,21442097.0,27628796.0,5045106.0,,66975704.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,22.114.137,4.088,6.824,3.989,-,-,-,22.129.038,,22114137.0,4088.0,6824.0,3989.0,,,,22129038.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,22.114.137,301.399.905,159.002.925,182.175.623,105.248.936,6.630.017,832,776.572.375,,22114137.0,301399905.0,159002925.0,182175623.0,105248936.0,6630017.0,832.0,776572375.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,27.815.219,25.550.845,166.080.966,11.196.703,(105.425.430),(17.420.847),29.905.855,26.308.232,164.011.543,27815219.0,25550845.0,166080966.0,11196703.0,-105425430.0,-17420847.0,29905855.0,26308232.0,164011543.0
Mức chênh nhạy cảm với lãi suất ngoại bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất ngoại bảng,Mức chênh nhạy cảm với lãi suất ngoại bảng,-,-,10.888.233,(1.914.030),803.487,(2.366.749),(8.217.177),-,(806.236),,,10888233.0,-1914030.0,803487.0,-2366749.0,-8217177.0,,-806236.0
"Mức chênh nhạy cảm với lãi suất nội, ngoại bảng","Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội, ngoại bảng","Mức chênh nhạy cảm với lãi suất nội, ngoại bảng",27.815.219,25.550.845,176.969.199,9.282.673,(104.621.943),(19.787.596),21.688.678,26.308.232,163.205.307,27815219.0,25550845.0,176969199.0,9282673.0,-104621943.0,-19787596.0,21688678.0,26308232.0,163205307.0
