row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng","Máy móc,thiết bịTriệu đồng",Phương tiệnvận tảiTriệu đồng,Thiết bị dụng cụquản lýTriệu đồng,Tài sản cố địnhkhácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng","numeric__Máy móc,thiết bịTriệu đồng",numeric__Phương tiệnvận tảiTriệu đồng,numeric__Thiết bị dụng cụquản lýTriệu đồng,numeric__Tài sản cố địnhkhácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.017.139,1.528.146,212.673,179.168,57.074,2.994.200,1017139.0,1528146.0,212673.0,179168.0,57074.0,2994200.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,2.377,24.946,3.288,-,30.611,,2377.0,24946.0,3288.0,,30611.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,-,362.225,-,41.532,-,403.757,,362225.0,,41532.0,,403757.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.133),(11.645),(6.012),(2.977),(21.767),,-1133.0,-11645.0,-6012.0,-2977.0,-21767.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.017.139,1.891.615,225.974,217.976,54.097,3.406.801,1017139.0,1891615.0,225974.0,217976.0,54097.0,3406801.0
Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,,,,,,
Số dư đầu năm,Giá trị khấu hao luỹ kế > Số dư đầu năm,Số dư đầu năm,172.500,1.172.980,142.270,151.443,56.908,1.696.101,172500.0,1172980.0,142270.0,151443.0,56908.0,1696101.0
Khấu hao trong năm,Giá trị khấu hao luỹ kế > Khấu hao trong năm,Khấu hao trong năm,26.412,231.542,18.318,18.682,159,295.113,26412.0,231542.0,18318.0,18682.0,159.0,295113.0
"Thanh lý, nhượng bán","Giá trị khấu hao luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.133),(11.373),(6.012),(2.977),(21.495),,-1133.0,-11373.0,-6012.0,-2977.0,-21495.0
Số dư cuối năm,Giá trị khấu hao luỹ kế > Số dư cuối năm,Số dư cuối năm,198.912,1.403.389,149.215,164.113,54.090,1.969.719,198912.0,1403389.0,149215.0,164113.0,54090.0,1969719.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,844.639,355.166,70.403,27.725,166,1.298.099,844639.0,355166.0,70403.0,27725.0,166.0,1298099.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,818.227,488.226,76.759,53.863,7,1.437.082,818227.0,488226.0,76759.0,53863.0,7.0,1437082.0
