row_label_raw,row_label_full,col_0,Vốn điều lệTriệu đồng,Thặng dưvốn cổ phầnTriệu đồng,Quỹ dự trữbổ sungvốn điều lệTriệu đồng,Quỹ dự phòngtài chínhTriệu đồng,Quỹ đầu tưphát triểnTriệu đồng,Cổ phiếu quỹTriệu đồng,Lợi nhuậnchưa phânphốiTriệu đồng,Lợi ích của cổđồng khôngkiểm soátTriệu đồng,Tổng cộngTriệu đồng,numeric__Vốn điều lệTriệu đồng,numeric__Thặng dưvốn cổ phầnTriệu đồng,numeric__Quỹ dự trữbổ sungvốn điều lệTriệu đồng,numeric__Quỹ dự phòngtài chínhTriệu đồng,numeric__Quỹ đầu tưphát triểnTriệu đồng,numeric__Cổ phiếu quỹTriệu đồng,numeric__Lợi nhuậnchưa phânphốiTriệu đồng,numeric__Lợi ích của cổđồng khôngkiểm soátTriệu đồng,numeric__Tổng cộngTriệu đồng
Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,67.434.236,-,1.806.421,9.029.594,2.699.069,(883.466),16.751.804,6.664.262,103.501.920,67434236.0,,1806421.0,9029594.0,2699069.0,-883466.0,16751804.0,6664262.0,103501920.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,9.973.939,(1.479.768),8.494.171,,,,,,,9973939.0,-1479768.0,8494171.0
Phát hành cổ phiếu đề tăng vốn điều lệ,Phát hành cổ phiếu đề tăng vốn điều lệ,Phát hành cổ phiếu đề tăng vốn điều lệ,11.905.000,23.992.546,-,-,-,-,-,-,35.897.546,11905000.0,23992546.0,,,,,,,35897546.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,544.804,1.076.595,-,-,(1.621.399),-,-,,,544804.0,1076595.0,,,-1621399.0,,
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,(292.890),-,-,-,-,(292.890),,,,-292890.0,,,,,-292890.0
Điều chuyển quỹ đầu tư phát triển sang lợi nhuận chưa phân phối,Điều chuyển quỹ đầu tư phát triển sang lợi nhuận chưa phân phối,Điều chuyển quỹ đầu tư phát triển sang lợi nhuận chưa phân phối,-,-,-,-,(2.049.041),-,2.049.041,-,-,,,,,-2049041.0,,2049041.0,,
Điều chuyển quỹ đầu tư phát triển sangthăng dư vốn cổ phần,Điều chuyển quỹ đầu tư phát triển sangthăng dư vốn cổ phần,Điều chuyển quỹ đầu tư phát triển sangthăng dư vốn cổ phần,-,581.270,-,-,(581.270),-,-,-,-,,581270.0,,,-581270.0,,,,
Phát hành ESOP từ cổ phiếu quỹ,Phát hành ESOP từ cổ phiếu quỹ,Phát hành ESOP từ cổ phiếu quỹ,-,(581.270),-,-,-,883.466,-,-,302.196,,-581270.0,,,,883466.0,,,302196.0
Chia cổ tức năm 2022 cho cổ đông,Chia cổ tức năm 2022 cho cổ đông,Chia cổ tức năm 2022 cho cổ đông,-,-,-,-,-,-,(7.933.924),-,(7.933.924),,,,,,,-7933924.0,,-7933924.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,-,-,(153.492),(20.000),(173.492),,,,,,,-153492.0,-20000.0,-173492.0
Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,79.339.236,23.992.546,2.351.225,9.813.299,68.758,-,19.065.969,5.164.494,139.795.527,79339236.0,23992546.0,2351225.0,9813299.0,68758.0,,19065969.0,5164494.0,139795527.0
