row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2024,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng) Triệu đồng > Tại ngày 31 tháng 12 năm 2024,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Dòng tiền vào Triệu đồng > Tại ngày 31 tháng 12 năm 2024,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Dòng tiền ra Triệu đồng > Tại ngày 31 tháng 12 năm 2024,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Giá trị thuần Triệu đồng > Tại ngày 31 tháng 12 năm 2024,numeric__Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng) Triệu đồng > Tại ngày 31 tháng 12 năm 2024,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Dòng tiền vào Triệu đồng > Tại ngày 31 tháng 12 năm 2024,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Dòng tiền ra Triệu đồng > Tại ngày 31 tháng 12 năm 2024,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Giá trị thuần Triệu đồng > Tại ngày 31 tháng 12 năm 2024
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,175.293.112,169.487.982,(168.891.987),595.995,175293112.0,169487982.0,-168891987.0,595995.0
Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,36.417.208,36.108.740,(36.071.453),37.287,36417208.0,36108740.0,-36071453.0,37287.0
Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,138.875.904,133.379.242,(132.820.534),558.708,138875904.0,133379242.0,-132820534.0,558708.0
Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,74.713.435,24.329.165,(24.953.217),(624.052),74713435.0,24329165.0,-24953217.0,-624052.0
,,,250.006.547,193.817.147,(193.845.204),(28.057),250006547.0,193817147.0,-193845204.0,-28057.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,,,,
Công cụ tài chính phải sinh tiền tệ,Tại ngày 31 tháng 12 năm 2023 > Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,203.295.596,190.677.043,(190.424.992),252.051,203295596.0,190677043.0,-190424992.0,252051.0
Giao dịch kỳ hạn tiền tệ,Tại ngày 31 tháng 12 năm 2023 > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,69.085.137,69.360.046,(69.238.263),121.783,69085137.0,69360046.0,-69238263.0,121783.0
Giao dịch hoán đổi tiền tệ,Tại ngày 31 tháng 12 năm 2023 > Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,134.210.459,121.316.997,(121.186.729),130.268,134210459.0,121316997.0,-121186729.0,130268.0
Công cụ tài chính phải sinh khác,Tại ngày 31 tháng 12 năm 2023 > Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,48.616.991,32.589.355,(32.841.798),(252.443),48616991.0,32589355.0,-32841798.0,-252443.0
,,,251.912.587,223.266.398,(223.266.790),(392),251912587.0,223266398.0,-223266790.0,-392.0
