row_label_raw,row_label_full,col_0,Ghi nhận giá trị hợp lý thông qua kết quả hoạt động Triệu đồng,Giá trị ghi sổ > Giữ đến ngày đáo hạn Triệu đồng,Giá trị ghi sổ > Cho vay và phải thu Triệu đồng,Giá trị ghi sổ > Sẵn sàng để bán Triệu đồng,Giá trị ghi sổ > Tài sản và nợ khác hạch toán theo giá trị phân bổ Triệu đồng,Giá trị ghi sổ > Tổng cộng giá trị ghi sổ Triệu đồng,Giá trị hợp lý Triệu đồng,numeric__Ghi nhận giá trị hợp lý thông qua kết quả hoạt động Triệu đồng,numeric__Giá trị ghi sổ > Giữ đến ngày đáo hạn Triệu đồng,numeric__Giá trị ghi sổ > Cho vay và phải thu Triệu đồng,numeric__Giá trị ghi sổ > Sẵn sàng để bán Triệu đồng,numeric__Giá trị ghi sổ > Tài sản và nợ khác hạch toán theo giá trị phân bổ Triệu đồng,numeric__Giá trị ghi sổ > Tổng cộng giá trị ghi sổ Triệu đồng,numeric__Giá trị hợp lý Triệu đồng
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,2.148.289,-,-,2.148.289,2.148.289,,,2148289.0,,,2148289.0,2148289.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,14.327.215,-,-,14.327.215,(*),,,14327215.0,,,14327215.0,
Tiền gửi tại các TCTD khác và cho vay các TCTD khác – gộp,Tiền gửi tại các TCTD khác và cho vay các TCTD khác – gộp,Tiền gửi tại các TCTD khác và cho vay các TCTD khác – gộp,-,-,134.643.662,-,-,134.643.662,(*),,,134643662.0,,,134643662.0,
Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,13.180.721,-,-,-,-,13.180.721,(*),13180721.0,,,,,13180721.0,
Cho vay khách hàng và mua nợ – gộp,Cho vay khách hàng và mua nợ – gộp,Cho vay khách hàng và mua nợ – gộp,-,-,693.681.607,-,-,693.681.607,(*),,,693681607.0,,,693681607.0,
Chứng khoán sẵn sàng để bán – gộp,Chứng khoán sẵn sàng để bán – gộp,Chứng khoán sẵn sàng để bán – gộp,-,-,-,51.857.428,-,51.857.428,(*),,,,51857428.0,,51857428.0,
Chứng khoán đầu tư giữ đến ngày đáo hạn - gộp,Chứng khoán đầu tư giữ đến ngày đáo hạn - gộp,Chứng khoán đầu tư giữ đến ngày đáo hạn - gộp,-,992.927,-,-,-,992.927,(*),,992927.0,,,,992927.0,
"Gộp vốn, đầu tư dài hạn – gộp","Gộp vốn, đầu tư dài hạn – gộp","Gộp vốn, đầu tư dài hạn – gộp",-,-,-,189.210,-,189.210,(*),,,,189210.0,,189210.0,
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,885.722,-,16.935.391,1.024.712,-,18.845.825,(*),885722.0,,16935391.0,1024712.0,,18845825.0,
,,,14.066.443,992.927,861.736.164,53.071.350,-,929.866.884,,14066443.0,992927.0,861736164.0,53071350.0,,929866884.0,
Các khoản nợ chính phủ và NHNN,Các khoản nợ chính phủ và NHNN,Các khoản nợ chính phủ và NHNN,-,-,-,-,5.713,5.713,(*),,,,,5713.0,5713.0,
"Tiền gửi và vay các TCTC, các TCTD khác","Tiền gửi và vay các TCTC, các TCTD khác","Tiền gửi và vay các TCTC, các TCTD khác",-,-,-,-,201.756.421,201.756.421,(*),,,,,201756421.0,201756421.0,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,485.666.548,485.666.548,(*),,,,,485666548.0,485666548.0,
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,28.057,-,-,-,-,28.057,(*),28057.0,,,,,28057.0,
"Vốn tài trợ, ủy thác đầu tư tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư tổ chức tín dụng chịu rủi ro",-,-,-,-,10.894,10.894,(*),,,,,10894.0,10894.0,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,66.975.704,66.975.704,(*),,,,,66975704.0,66975704.0,
Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,950.357,-,-,-,16.191.300,17.141.657,(*),950357.0,,,,16191300.0,17141657.0,
,,,978.414,-,-,-,770.606.580,771.584.994,,978414.0,,,,770606580.0,771584994.0,
