row_label_raw,row_label_full,Bên liên quan,Giao dịch,Giá trị > Năm 2024Triệu đồng,Giá trị > Năm 2023Triệu đồng,numeric__Giao dịch,numeric__Giá trị > Năm 2024Triệu đồng,numeric__Giá trị > Năm 2023Triệu đồng
Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Chi phí lãi tiền vay từ SMBC,(753.180),(145.607),,-753180.0,-145607.0
Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Doanh thu lãi tiền gửi tại SMBC,19.233,3.657,,19233.0,3657.0
Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Doanh thu từ hợp đồng phải sinh với SMBC,1.446.986,226.184,,1446986.0,226184.0
Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Chi phí từ hợp đồng phải sinh với SMBC,(1.305.968),(239.022),,-1305968.0,-239022.0
Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Chi phí khác,(197.932),(26.360),,-197932.0,-26360.0
Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Ngân hàng SumitomoMitsui BankingCorporation - Cổ đông lớn (*),Thu phí dịch vụ khác,2.925,-,,2925.0,
CTCP Cảng Sài Gòn -Công ty do Ngân hàngđầu tư góp vốn dài hạncó từ 11% quyền biểuquyết trở xuống,CTCP Cảng Sài Gòn -Công ty do Ngân hàngđầu tư góp vốn dài hạncó từ 11% quyền biểuquyết trở xuống,CTCP Cảng Sài Gòn -Công ty do Ngân hàngđầu tư góp vốn dài hạncó từ 11% quyền biểuquyết trở xuống,Nhận tiền gửi có kỳ hạn,-,16.000,,,16000.0
CTCP Cảng Sài Gòn -Công ty do Ngân hàngđầu tư góp vốn dài hạncó từ 11% quyền biểuquyết trở xuống,CTCP Cảng Sài Gòn -Công ty do Ngân hàngđầu tư góp vốn dài hạncó từ 11% quyền biểuquyết trở xuống,CTCP Cảng Sài Gòn -Công ty do Ngân hàngđầu tư góp vốn dài hạncó từ 11% quyền biểuquyết trở xuống,Lãi phải trả tiền gửi,(276),(379),,-276.0,-379.0
CTCP Cảng Sài Gòn -Công ty do Ngân hàngđầu tư góp vốn dài hạncó từ 11% quyền biểuquyết trở xuống,CTCP Cảng Sài Gòn -Công ty do Ngân hàngđầu tư góp vốn dài hạncó từ 11% quyền biểuquyết trở xuống,CTCP Cảng Sài Gòn -Công ty do Ngân hàngđầu tư góp vốn dài hạncó từ 11% quyền biểuquyết trở xuống,Chi phí lãi tiền gửi,(788),(905),,-788.0,-905.0
CTCP đầu tư trung tâmthương mại Vinh(Vicentra) (**),CTCP đầu tư trung tâmthương mại Vinh(Vicentra) (**),CTCP đầu tư trung tâmthương mại Vinh(Vicentra) (**),Chi phí lãi tiền gửi,-,(1.369),,,-1369.0
CTCP đầu tư trung tâmthương mại Vinh(Vicentra) (**),CTCP đầu tư trung tâmthương mại Vinh(Vicentra) (**),CTCP đầu tư trung tâmthương mại Vinh(Vicentra) (**),Thu từ nghiệp vụ bảo lãnh,-,73,,,73.0
CTCP đầu tư trung tâmthương mại Vinh(Vicentra) (**),CTCP đầu tư trung tâmthương mại Vinh(Vicentra) (**),CTCP đầu tư trung tâmthương mại Vinh(Vicentra) (**),Thu từ hoạt động tín dụng,-,547,,,547.0
CTCP đầu tư trung tâmthương mại Vinh(Vicentra) (**),CTCP đầu tư trung tâmthương mại Vinh(Vicentra) (**),CTCP đầu tư trung tâmthương mại Vinh(Vicentra) (**),Thu nhập từ hoạt động dịch vụ,1,1,,1.0,1.0
Công ty TNHH MTVEFFEXI (**),Công ty TNHH MTVEFFEXI (**),Công ty TNHH MTVEFFEXI (**),Chi phí lãi tiền gửi,(3),-,,-3.0,
Công ty TNHH MTVEFFEXI (**),Công ty TNHH MTVEFFEXI (**),Công ty TNHH MTVEFFEXI (**),Thu nhập từ hoạt động dịch vụ,9,-,,9.0,
Công ty TNHH MTVRostra (**),Công ty TNHH MTVRostra (**),Công ty TNHH MTVRostra (**),Chi phí lãi tiền gửi,(11),-,,-11.0,
Công ty TNHH MTVRostra (**),Công ty TNHH MTVRostra (**),Công ty TNHH MTVRostra (**),Thu nhập từ hoạt động dịch vụ,13,-,,13.0,
CTCP Diera Corp (**),CTCP Diera Corp (**),CTCP Diera Corp (**),Chi phí lãi tiền gửi,(14),(2),,-14.0,-2.0
CTCP Diera Corp (**),CTCP Diera Corp (**),CTCP Diera Corp (**),Thu nhập từ hoạt động dịch vụ,10,-,,10.0,
CT TNHH MTV XưởngPhim Màu Hồng (**),CT TNHH MTV XưởngPhim Màu Hồng (**),CT TNHH MTV XưởngPhim Màu Hồng (**),Chi phí lãi tiền gửi,(1),(3),,-1.0,-3.0
CT TNHH MTV XưởngPhim Màu Hồng (**),CT TNHH MTV XưởngPhim Màu Hồng (**),CT TNHH MTV XưởngPhim Màu Hồng (**),Chi phí từ hoạt động dịch vụ,(1),-,,-1.0,
CT TNHH MTV XưởngPhim Màu Hồng (**),CT TNHH MTV XưởngPhim Màu Hồng (**),CT TNHH MTV XưởngPhim Màu Hồng (**),Thu nhập từ hoạt động dịch vụ,4,1,,4.0,1.0
"Các thành viên Hộiđồng quản trị, Ban kiểm soát và Ban Tổng giảmđốc","Các thành viên Hộiđồng quản trị, Ban kiểm soát và Ban Tổng giảmđốc","Các thành viên Hộiđồng quản trị, Ban kiểm soát và Ban Tổng giảmđốc",Nhận tiền gửi có kỳ hạn,1.649.915,354.068,,1649915.0,354068.0
"Các thành viên Hộiđồng quản trị, Ban kiểm soát và Ban Tổng giảmđốc","Các thành viên Hộiđồng quản trị, Ban kiểm soát và Ban Tổng giảmđốc","Các thành viên Hộiđồng quản trị, Ban kiểm soát và Ban Tổng giảmđốc",Rút tiền gửi có kỳ hạn,(1.751.165),(359.402),,-1751165.0,-359402.0
"Các thành viên Hộiđồng quản trị, Ban kiểm soát và Ban Tổng giảmđốc","Các thành viên Hộiđồng quản trị, Ban kiểm soát và Ban Tổng giảmđốc","Các thành viên Hộiđồng quản trị, Ban kiểm soát và Ban Tổng giảmđốc",Chi phí lãi tiền gửi,(6.977),(23.309),,-6977.0,-23309.0
"Các thành viên Hộiđồng quản trị, Ban kiểm soát và Ban Tổng giảmđốc","Các thành viên Hộiđồng quản trị, Ban kiểm soát và Ban Tổng giảmđốc","Các thành viên Hộiđồng quản trị, Ban kiểm soát và Ban Tổng giảmđốc",Thu nhập từ thể tín dụng,107,70,,107.0,70.0
