row_label_raw,row_label_full,col_0,Chức vụ,Năm 2024Triệu đồng,Năm 2023Triệu đồng,numeric__Chức vụ,numeric__Năm 2024Triệu đồng,numeric__Năm 2023Triệu đồng
Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,,,
Ông Ngô Chí Dũng,Thành viên Hội đồng Quản trị > Ông Ngô Chí Dũng,Ông Ngô Chí Dũng,Chủ tịch,(3.360),(3.360),,-3360.0,-3360.0
Ông Bùi Hải Quân,Thành viên Hội đồng Quản trị > Ông Bùi Hải Quân,Ông Bùi Hải Quân,Phó Chủ tịch,(3.120),(3.120),,-3120.0,-3120.0
Ông Lô Bằng Giang,Thành viên Hội đồng Quản trị > Ông Lô Bằng Giang,Ông Lô Bằng Giang,Phó Chủ tịch,(3.120),(3.120),,-3120.0,-3120.0
Ông Nguyễn Đức Vinh,Ông Nguyễn Đức Vinh,Ông Nguyễn Đức Vinh,Thành viên,-,-,,,
Bà Phạm Thị Nhung,Bà Phạm Thị Nhung,Bà Phạm Thị Nhung,Thành viên,-,-,,,
Ông Takeshi Kimoto,Ông Takeshi Kimoto,Ông Takeshi Kimoto,Thành viên,-,-,,,
Ông Nguyễn Văn Phúc,Ông Takeshi Kimoto > Ông Nguyễn Văn Phúc,Ông Nguyễn Văn Phúc,Thành viên độc lập,(1.200),(1.200),,-1200.0,-1200.0
Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,,,
"Thù lao, tiền lương và phụ cấp","Thành viên Ban Kiểm soát > Thù lao, tiền lương và phụ cấp","Thù lao, tiền lương và phụ cấp",Ban Kiểm soát,(6.429),(6.010),,-6429.0,-6010.0
Tổng Giám đốc,Tổng Giám đốc,Tổng Giám đốc,Tổng Giám đốc,Tổng Giám đốc,Tổng Giám đốc,,,
Ông Nguyễn Đức Vinh,Tổng Giám đốc > Ông Nguyễn Đức Vinh,Ông Nguyễn Đức Vinh,Tổng Giám đốc,(11.319),(11.388),,-11319.0,-11388.0
