row_label_raw,row_label_full,col_0,Dự phòng chungTriệu đồng,Dự phòng cu thểTriệu đồng,Dự phòng cho vay giao dịch ký quỹ và ứng trướcTriệu đồng,Tổng cộngTriệu đồng,numeric__Dự phòng chungTriệu đồng,numeric__Dự phòng cu thểTriệu đồng,numeric__Dự phòng cho vay giao dịch ký quỹ và ứng trướcTriệu đồng,numeric__Tổng cộngTriệu đồng
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,3.233.834,10.441.831,-,13.675.665,3233834.0,10441831.0,,13675665.0
Dự phòng rủi ro trích lập trong năm(Thuyết minh số 36),Dự phòng rủi ro trích lập trong năm(Thuyết minh số 36),Dự phòng rủi ro trích lập trong năm(Thuyết minh số 36),935.297,23.961.316,51.439,24.948.052,935297.0,23961316.0,51439.0,24948052.0
Sử dụng dự phòng xử lý rủi ro tín dụng và bán nợ trong năm,Sử dụng dự phòng xử lý rủi ro tín dụng và bán nợ trong năm,Sử dụng dự phòng xử lý rủi ro tín dụng và bán nợ trong năm,(16.395),(23.808.098),-,(23.824.493),-16395.0,-23808098.0,,-23824493.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,4.152.736,10.595.049,51.439,14.799.224,4152736.0,10595049.0,51439.0,14799224.0
